,E01615,E27064,E26813,E00863,E02877,E01697,E03355,E05254,E00947,E05353,E01573,E01206,E03186,E03219,E04760,E02873,E04036,E01254,E01495,E01971
CurrentYearInstant_No10MajorShareholdersMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
Prior2YearInstant_NonConsolidatedMember_ShareholdersEquityMember,4,3.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,3.0,5.0,3.0,5.0
Prior1YTDDuration_jpcrp040300-q2r_E01615-000EnvironmentEquipmentReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
Prior2YearInstant_NonConsolidatedMember_ValuationDifferenceOnAvailableForSaleSecuritiesMember,4,2.0,,2.0,,1.0,,2.0,3.0,2.0,3.0,3.0,,2.0,4.0,1.0,,5.0,3.0,5.0
CurrentYTDDuration,172,189.0,274.0,211.0,251.0,,138.0,169.0,244.0,139.0,249.0,185.0,,,180.0,89.0,274.0,266.0,300.0,382.0
Prior1YearDuration_NonConsolidatedMember_RetainedEarningsMember,4,6.0,2.0,4.0,,6.0,4.0,6.0,4.0,4.0,3.0,3.0,2.0,,8.0,2.0,6.0,4.0,4.0,6.0
CurrentYearInstant_ReportableSegmentsMember,2,,2.0,,6.0,,,,,4.0,,,,,,1.0,3.0,3.0,2.0,5.0
Prior1YearInstant_NonConsolidatedMember_LegalRetainedEarningsMember,8,,,4.0,6.0,7.0,4.0,6.0,5.0,,5.0,5.0,,4.0,7.0,2.0,,8.0,5.0,10.0
CurrentYearInstant_jpcrp030000-asr_E01615-000CrusherAndGrinderReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
Prior1QuarterInstant,9,16.0,16.0,16.0,18.0,,16.0,16.0,16.0,10.0,16.0,16.0,,,14.0,6.0,16.0,16.0,24.0,28.0
Prior1YearInstant_ValuationDifferenceOnAvailableForSaleSecuritiesMember,2,6.0,2.0,4.0,,,,6.0,5.0,4.0,5.0,5.0,,,2.0,,,8.0,5.0,10.0
CurrentYearDuration_NonConsolidatedMember_ValuationAndTranslationAdjustmentsMember,4,6.0,,2.0,,6.0,,6.0,,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,10.0
CurrentYearInstant_NonConsolidatedMember_TotalOfReportableSegmentsAndOthersMember,2,,,,,,,,,,,,,,,,,,,
Prior1YTDDuration_jpcrp040300-q3r_E01615-000OtherMachineReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
Prior2YearInstant_NonConsolidatedMember_ValuationAndTranslationAdjustmentsMember,4,2.0,,2.0,,1.0,,2.0,,2.0,2.0,3.0,,2.0,4.0,1.0,,5.0,3.0,5.0
Prior1YearDuration_NonConsolidatedMember_TotalOfReportableSegmentsAndOthersMember,10,,,,,,,,,,,,,,,,,,,
CurrentQuarterInstant_No1MajorShareholdersMember,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
CurrentYTDDuration_jpcrp040300-q1r_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
Prior1YearDuration_NonConsolidatedMember,218,93.0,69.0,95.0,147.0,255.0,87.0,116.0,80.0,74.0,64.0,92.0,145.0,166.0,121.0,35.0,141.0,108.0,66.0,160.0
Prior1YearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_jpcrp040300-q2r_E01615-000ServiceRevenueReportableSegmentsMember,7,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_jpcrp030000-asr_E01615-000OtherMachineReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_jpcrp040300-q1r_E01615-000EnvironmentEquipmentReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_NonConsolidatedMember_jpcrp030000-asr_E01615-000OtherMachineReportableSegmentsMember,8,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_jpcrp040300-q2r_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,5,,,,,,,,,,,,,,,,,,,
Prior2YearInstant_NonConsolidatedMember_CapitalSurplusMember,4,3.0,1.0,2.0,,3.0,2.0,3.0,3.0,2.0,,3.0,2.0,,4.0,1.0,3.0,,3.0,5.0
CurrentYearDuration_jpcrp030000-asr_E01615-000BridgeSteelStructureAndWaterTreatmentEquipmentReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
CurrentYearInstant_No8MajorShareholdersMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
Prior1YearInstant_CapitalStockMember,2,6.0,4.0,4.0,6.0,,4.0,6.0,5.0,4.0,5.0,5.0,,,2.0,2.0,6.0,8.0,5.0,10.0
CurrentYearDuration_ValuationAndTranslationAdjustmentsMember,4,6.0,4.0,2.0,2.0,,,6.0,4.0,,4.0,2.0,,,2.0,2.0,2.0,6.0,4.0,8.0
CurrentYearInstant_No4MajorShareholdersMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
CurrentYearInstant_No2MajorShareholdersMember,4,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,5.0
CurrentYearInstant_NonConsolidatedMember_LegalRetainedEarningsMember,4,,,2.0,3.0,3.0,2.0,3.0,2.0,,2.0,2.0,,2.0,3.0,1.0,,3.0,2.0,5.0
Prior4YearInstant_NonConsolidatedMember,28,18.0,,12.0,12.0,14.0,12.0,18.0,10.0,12.0,12.0,10.0,14.0,14.0,15.0,6.0,15.0,15.0,10.0,12.0
Prior1QuarterInstant_NonConsolidatedMember,7,,,,,32.0,,,,,,,28.0,28.0,,,,,,
CurrentYearInstant_ShareholdersEquityMember,2,3.0,2.0,2.0,3.0,,2.0,3.0,2.0,2.0,2.0,2.0,,,1.0,1.0,3.0,3.0,2.0,5.0
CurrentYearInstant_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,2,,,,4.0,,,,,3.0,,,,,,1.0,,3.0,2.0,
CurrentYearDuration_NonConsolidatedMember_ShareholdersEquityMember,4,9.0,6.0,4.0,4.0,7.0,4.0,7.0,6.0,4.0,3.0,1.0,2.0,4.0,12.0,2.0,13.0,6.0,4.0,14.0
Prior1YearInstant_NonConsolidatedMember_jpcrp030000-asr_E01615-000EnvironmentEquipmentReportableSegmentsMember,2,,,,,,,,,,,,,,,,,,,
Prior1YTDDuration_jpcrp040300-q2r_E01615-000LiningProductsReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
Prior1YTDDuration_jpcrp040300-q3r_E01615-000LiningProductsReportableSegmentsMember,3,,,,,,,,,,,,,,,,,,,
CurrentYearDuration_ShareholdersEquityMember,4,9.0,4.0,4.0,4.0,,4.0,7.0,6.0,4.0,3.0,2.0,,,5.0,2.0,13.0,6.0,4.0,10.0
CurrentYearInstant_CapitalSurplusMember,2,3.0,2.0,2.0,3.0,,2.0,3.0,2.0,2.0,2.0,2.0,,,1.0,1.0,3.0,3.0,2.0,5.0
Prior1YearInstant_NonConsolidatedMember_RetainedEarningsMember,4,6.0,2.0,4.0,,8.0,,6.0,6.0,4.0,5.0,5.0,4.0,,7.0,2.0,6.0,8.0,6.0,10.0
CurrentYearDuration_jpcrp030000-asr_E01615-000EnvironmentEquipmentReportableSegmentsMember,10,,,,,,,,,,,,,,,,,,,
CurrentYTDDuration_jpcrp040300-q2r_E01615-000LiningProductsReportableSegmentsMember,6,,,,,,,,,,,,,,,,,,,
