コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,201.00,203.00,200.00,203.00,245000,49465000
1305-T,ETFTPX,東証,833.00,838.00,831.00,837.00,580670,485148120
1306-T,TOPIX投,東証,827.00,835.00,827.00,835.00,4754060,3956060970
1308-T,上場TPX,東証,816.00,824.00,816.00,823.00,207600,170388200
1309-O,上証50連,大証,17750.00,18000.00,17730.00,17790.00,4157,74149470
1310-T,ETF･コア30,東証,425.00,430.00,423.00,427.00,9510,4047060
1311-T,TOPIX30,東証,435.00,441.00,435.00,438.00,9140,3992040
1312-O,RN小型コア,大証,8930.00,8990.00,8930.00,8990.00,609,5455790
1313-T,KODEX200,東証,1921.00,1921.00,1885.00,1885.00,610,1162950
1314-T,上場新興,東証,536.00,538.00,536.00,538.00,1200,645200
1316-T,上場大型,東証,545.00,545.00,543.00,543.00,170,92630
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,947.00,947.00,947.00,947.00,2370,2244390
1319-T,300投信,東証,153.00,153.00,153.00,153.00,1000,153000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9650.00,9720.00,9640.00,9700.00,170893,1653983550
1321-O,225投信,大証,9660.00,9750.00,9660.00,9710.00,521019,5048081120
1322-T,上場パンタ,東証,2686.00,2773.00,2661.00,2750.00,8680,23598360
1323-O,南ア40,大証,305.00,312.00,305.00,308.00,13700,4214400
1324-O,RTS連動,大証,133.00,135.00,133.00,134.00,131400,17545500
1325-T,ボベスパ,東証,258.00,259.00,255.00,255.00,338000,86855500
1326-T,SPDRゴール,東証,13120.00,13200.00,13100.00,13160.00,36420,478548210
1327-T,EASY商品,東証,3820.00,3840.00,3820.00,3840.00,129,492820
1328-O,金連動,大証,3945.00,3985.00,3940.00,3970.00,32840,129921950
1329-T,iS225,東証,9600.00,9670.00,9590.00,9650.00,2890,27767200
1330-T,上場225,東証,9700.00,9770.00,9670.00,9740.00,256260,2492188400
1332-T,日水,東証1部,280.00,286.00,280.00,285.00,1132100,321399000
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,146.00,147.00,145.00,147.00,609000,89166000
1343-T,REIT-ETF,東証,971.00,990.00,971.00,990.00,98740,96877360
1344-T,MXSコア30,東証,430.00,433.00,428.00,431.00,26210,11275690
1345-T,上場Jリート,東証,931.00,950.00,931.00,948.00,45200,42319400
1346-O,MXS225,大証,9670.00,9730.00,9640.00,9710.00,8126,78713290
1347-T,上場グリチ,東証,2818.00,2818.00,2818.00,2818.00,220,619960
1348-T,MXSトピクス,東証,823.00,832.00,823.00,832.00,56120,46446000
1349-T,アジア債券,東証,10210.00,10220.00,10210.00,10220.00,40,408490
1352-T,ホウスイ,東証1部,115.00,117.00,115.00,117.00,182000,21086000
1376-J,カネコ種,JQスタンダード,732.00,738.00,732.00,734.00,900,660700
1377-T,サカタのタネ,東証1部,1109.00,1125.00,1108.00,1125.00,28500,31749800
1378-T,雪国マイタケ,東証2部,351.00,352.00,347.00,348.00,16500,5765400
1379-T,ホクト,東証1部,1724.00,1742.00,1724.00,1742.00,80300,139315700
1380-J,秋川牧園,JQスタンダード,,,,,0,0
1381-J,アクシーズ,JQスタンダード,,,,,0,0
1382-J,ホーブ,JQスタンダード,112400.00,112400.00,112400.00,112400.00,2,224800
1383-J,ベルグアース,JQスタンダード,1150.00,1150.00,1104.00,1130.00,37700,42407000
1400-J,ルーデン,JQグロース,8130.00,8380.00,8000.00,8240.00,308,2516260
1401-F,エムビーエス,福証Q-Board,920.00,920.00,910.00,910.00,200,183000
1405-T,サーラ住宅,東証2部,484.00,484.00,460.00,480.00,4900,2335700
1407-J,ウエストHD,JQスタンダード,924.00,956.00,904.00,940.00,683200,636736200
1408-J,サムシングHD,JQグロース,222500.00,233900.00,216200.00,220000.00,990,223473500
1412-T,チャイナボーチ,東証1部外国,3910.00,4000.00,3820.00,3910.00,755,2975120
1414-T,ショーボンド,東証1部,1924.00,2000.00,1910.00,1995.00,386200,757865200
1417-T,ミライトHD,東証1部,608.00,616.00,608.00,616.00,119600,73349500
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,129.00,129.00,125.00,126.00,45500,5746500
1491-T,中外鉱,東証2部,19.00,19.00,17.00,19.00,4134100,74874800
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,97.00,98.00,96.00,97.00,825100,79921100
1515-T,日鉄鉱,東証1部,382.00,391.00,380.00,390.00,91000,35129000
1518-T,三井松,東証1部,169.00,173.00,167.00,173.00,2007000,341647000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,4280.00,4305.00,4270.00,4285.00,127606,546989455
1541-T,純プラ信,東証,4105.00,4195.00,4105.00,4150.00,7045,29151700
1542-T,純銀信託,東証,8380.00,8500.00,8370.00,8450.00,26341,221520640
1543-T,純パラ信,東証,17220.00,17640.00,17030.00,17640.00,362,6254910
1544-T,上場MSジ,東証,,,,,0,0
1545-O,NASDAQ投,大証,2097.00,2110.00,2096.00,2108.00,3780,7934240
1546-O,NYダウ30,大証,10360.00,10420.00,10330.00,10400.00,1850,19191400
1547-T,上場米国,東証,1157.00,1160.00,1152.00,1158.00,6870,7945930
1548-T,上場チャイナ,東証,818.00,827.00,811.00,822.00,11490,9367710
1549-T,上場インド,東証,798.00,798.00,780.00,798.00,14750,11672560
1550-T,MXS外株,東証,1000.00,1003.00,994.00,1000.00,17030,16994220
1551-O,JASDAQ20,大証,1207.00,1212.00,1200.00,1205.00,1860,2240910
1552-O,VIX短期,大証,8200.00,8220.00,8090.00,8200.00,59464,485725850
1554-T,上場MS世,東証,956.00,956.00,932.00,945.00,26340,25044460
1555-T,上場Aリート,東証,941.00,948.00,933.00,944.00,26790,25225480
1556-T,上場日中,東証,947.00,947.00,939.00,939.00,130,122600
1557-T,SPDR500,東証,10900.00,11010.00,10850.00,10860.00,678,7378400
1559-T,タイSET50,東証,2055.00,2085.00,2054.00,2057.00,2883,5936677
1560-T,ブルサKLCI,東証,4170.00,4210.00,4165.00,4200.00,1630,6811650
1561-O,VIX中期,大証,111600.00,111800.00,110500.00,110500.00,36,4012400
1562-T,YMアジ日,東証,1135.00,1148.00,1135.00,1148.00,380,433640
1563-T,マザーズコア,東証,911.00,926.00,911.00,926.00,221,201616
1565-T,日経カバコ,東証,11250.00,11270.00,11250.00,11270.00,8,90060
1567-T,MXSリスク5,東証,997.00,999.00,997.00,999.00,150,149670
1605-T,国際帝石,東証1部,551000.00,553000.00,546000.00,550000.00,15588,8572396000
1606-T,海洋掘削,東証1部,2642.00,2729.00,2639.00,2724.00,70000,188252500
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,109.00,110.00,109.00,110.00,3400,373000
1613-T,電機,東証,1101.00,1101.00,1101.00,1101.00,180,198180
1615-T,銀行,東証,121.00,122.00,121.00,122.00,502900,60971200
1617-T,食品,東証,14060.00,14060.00,14060.00,14060.00,1,14060
1618-T,エネ資源,東証,12080.00,12110.00,12050.00,12100.00,149,1800640
1619-T,建設資材,東証,11460.00,11570.00,11460.00,11520.00,1471,16928610
1620-T,素材化学,東証,10050.00,10120.00,10050.00,10120.00,11,110620
1621-T,医薬品,東証,10250.00,10300.00,10240.00,10260.00,112,1148910
1622-T,自動車,東証,11720.00,11880.00,11720.00,11840.00,70,824370
1623-T,鉄鋼非鉄,東証,15600.00,15900.00,15600.00,15900.00,139,2178660
1624-T,機械,東証,16390.00,16660.00,16390.00,16660.00,6,98610
1625-T,電機精密,東証,8460.00,8550.00,8460.00,8550.00,143,1215730
1626-T,情通サ他,東証,8040.00,8040.00,8020.00,8020.00,217,1740360
1627-T,電力ガス,東証,6460.00,6530.00,6460.00,6510.00,252,1637320
1628-T,運輸物流,東証,9250.00,9260.00,9250.00,9260.00,234,2164520
1629-T,商社卸売,東証,18610.00,18800.00,18610.00,18770.00,65,1210770
1630-T,小売,東証,9300.00,9340.00,9300.00,9330.00,119,1110760
1631-T,銀行・17,東証,7160.00,7220.00,7160.00,7220.00,123,883080
1632-T,金融,東証,6260.00,6300.00,6250.00,6280.00,269,1687250
1633-T,不動産,東証,15910.00,16010.00,15910.00,15920.00,263,4195360
1634-T,ダイワ食品,東証,,,,,0,0
1635-T,ダイワエネ,東証,,,,,0,0
1636-T,ダイワ建設,東証,,,,,0,0
1637-T,ダイワ素材,東証,,,,,0,0
1638-T,ダイワ医薬,東証,,,,,0,0
1639-T,ダイワ自動,東証,,,,,0,0
1640-T,ダイワ鉄鋼,東証,16210.00,16210.00,16210.00,16210.00,1,16210
1641-T,ダイワ機械,東証,,,,,0,0
1642-T,ダイワ電機,東証,,,,,0,0
1643-T,ダイワ情報,東証,,,,,0,0
1644-T,ダイワ電力,東証,6410.00,6430.00,6410.00,6430.00,2,12840
1645-T,ダイワ運輸,東証,,,,,0,0
1646-T,ダイワ商社,東証,,,,,0,0
1647-T,ダイワ小売,東証,,,,,0,0
1648-T,ダイワ銀行,東証,,,,,0,0
1649-T,ダイワ金融,東証,6170.00,6180.00,6170.00,6180.00,2,12350
1650-T,ダイワ不動,東証,,,,,0,0
1661-T,ガス開,東証1部,430.00,436.00,427.00,436.00,47000,20261000
1662-T,石油資源,東証1部,3765.00,3855.00,3765.00,3845.00,314700,1202280500
1670-T,MXS三菱,東証,92.00,92.00,90.00,91.00,2200,199800
1671-O,WTI原油,大証,5610.00,5690.00,5610.00,5690.00,21002,118188600
1672-T,金ETF,東証,13230.00,13310.00,13230.00,13240.00,1298,17237610
1673-T,銀ETF,東証,2600.00,2600.00,2583.00,2595.00,1410,3659370
1674-T,プラチナETF,東証,,,,,0,0
1675-T,パラジETF,東証,5250.00,5280.00,5250.00,5280.00,21,110280
1676-T,キンゾクETF,東証,,,,,0,0
1677-T,上場外債,東証,42050.00,42050.00,41800.00,41950.00,390,16362500
1678-T,インドNIF,東証,80.00,81.00,79.00,81.00,586400,46899300
1679-T,NYダウ,東証,9920.00,9980.00,9920.00,9970.00,2510,24982500
1680-T,上場MSコク,東証,1039.00,1041.00,1000.00,1041.00,33860,34764360
1681-T,上場MSエマ,東証,1041.00,1051.00,1040.00,1044.00,40870,42613020
1682-O,プラチナ先,大証,243.00,243.00,239.00,243.00,8100,1959100
1683-O,金先物,大証,4200.00,4210.00,4200.00,4205.00,130,546850
1684-T,商品ETF,東証,,,,,0,0
1685-T,エナジーETF,東証,,,,,0,0
1686-T,メタルETF,東証,,,,,0,0
1687-T,アグリETF,東証,640.00,640.00,640.00,640.00,160,102400
1688-T,穀物ETF,東証,476.00,480.00,476.00,477.00,2200,1052000
1689-T,ガスETF,東証,11.00,11.00,10.00,10.00,2415900,24192000
1690-T,原油ETF,東証,2268.00,2268.00,2268.00,2268.00,10,22680
1691-T,ガソリンETF,東証,3975.00,3975.00,3975.00,3975.00,70,278250
1692-T,アルミETF,東証,,,,,0,0
1693-T,銅ETF,東証,3300.00,3300.00,3230.00,3260.00,130,425650
1694-T,ニッケルETF,東証,,,,,0,0
1695-T,小麦ETF,東証,132.00,136.00,132.00,136.00,10800,1450500
1696-T,コーンETF,東証,,,,,0,0
1697-T,大豆ETF,東証,,,,,0,0
1698-T,上場配当,東証,920.00,926.00,918.00,925.00,2940,2706780
1699-T,野村原油,東証,934.00,938.00,931.00,937.00,7040,6573630
1711-T,省電舎,東証マザーズ,181800.00,183500.00,181000.00,181600.00,35,6388400
1712-T,ダイセキソリュ,東証1部,164000.00,165400.00,162800.00,164800.00,140,23016200
1716-J,第一カッター,JQスタンダード,770.00,785.00,755.00,781.00,8900,6877700
1717-J,明豊ファシリ,JQスタンダード,125.00,127.00,124.00,127.00,14400,1807800
1718-J,美樹工業,JQスタンダード,,,,,0,0
