コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,188.00,188.00,187.00,188.00,1390000,260820000
1305-T,ETFTPX,東証,865.00,872.00,863.00,868.00,321800,279692600
1306-T,TOPIX投,東証,872.00,877.00,866.00,873.00,2993420,2608827050
1308-T,上場TPX,東証,854.00,857.00,849.00,854.00,633400,539890300
1309-O,上証50連,大証,21710.00,21960.00,21680.00,21680.00,5263,114763940
1310-T,ETF･コア30,東証,470.00,470.00,467.00,467.00,900,422700
1311-T,TOPIX30,東証,476.00,476.00,472.00,473.00,4710,2236610
1312-O,RN小型コア,大証,8740.00,8740.00,8590.00,8590.00,910,7833400
1313-T,KODEX200,東証,2020.00,2050.00,2017.00,2039.00,740,1504530
1314-T,上場新興,東証,590.00,591.00,590.00,591.00,1000,590600
1316-T,上場大型,東証,601.00,601.00,596.00,596.00,530,315980
1317-T,上場中型,東証,890.00,890.00,874.00,874.00,420,371230
1318-T,上場小型,東証,920.00,920.00,905.00,905.00,930,845200
1319-T,300投信,東証,134.00,134.00,133.00,133.00,33000,4390000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9610.00,9610.00,9480.00,9540.00,113660,1084714300
1321-O,225投信,大証,9650.00,9650.00,9510.00,9590.00,410465,3930607250
1322-T,上場パンタ,東証,3505.00,3520.00,3455.00,3460.00,4490,15703700
1323-O,南ア40,大証,329.00,330.00,328.00,329.00,3800,1251700
1324-O,RTS連動,大証,163.00,164.00,162.00,164.00,80200,13060800
1325-T,ボベスパ,東証,282.00,287.00,282.00,287.00,175700,49956200
1326-T,SPDRゴール,東証,11340.00,11380.00,11340.00,11360.00,27644,314054760
1327-T,EASY商品,東証,4060.00,4150.00,4060.00,4145.00,222,905965
1328-O,金連動,大証,3370.00,3390.00,3370.00,3370.00,17500,59115950
1329-T,iS225,東証,9570.00,9570.00,9460.00,9520.00,1960,18659700
1330-T,上場225,東証,9680.00,9690.00,9550.00,9590.00,166460,1599746200
1332-T,日水,東証1部,245.00,248.00,241.00,243.00,2380300,582367100
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,128.00,129.00,125.00,126.00,4513000,573872000
1343-T,REIT-ETF,東証,1086.00,1089.00,1078.00,1079.00,69080,74946490
1344-T,MXSコア30,東証,468.00,468.00,463.00,465.00,5820,2709190
1345-T,上場Jリート,東証,1043.00,1048.00,1039.00,1043.00,33100,34547800
1346-O,MXS225,大証,9640.00,9640.00,9510.00,9590.00,23499,224296210
1347-T,上場グリチ,東証,3225.00,3225.00,3220.00,3220.00,30,96700
1348-T,MXSトピクス,東証,862.00,865.00,857.00,863.00,28920,24867950
1349-T,アジア債券,東証,9910.00,9950.00,9910.00,9950.00,139,1378000
1352-T,ホウスイ,東証1部,95.00,96.00,95.00,96.00,6000,573000
1376-J,カネコ種,JQスタンダード,768.00,769.00,760.00,760.00,8200,6255800
1377-T,サカタのタネ,東証1部,1195.00,1209.00,1178.00,1200.00,83000,99140100
1378-T,雪国マイタケ,東証2部,503.00,513.00,502.00,511.00,23500,11854100
1379-T,ホクト,東証1部,1934.00,1938.00,1920.00,1926.00,146400,282207000
1380-J,秋川牧園,JQスタンダード,430.00,430.00,430.00,430.00,2000,860000
1381-J,アクシーズ,JQスタンダード,,,,,0,0
1382-J,ホーブ,JQスタンダード,140500.00,142000.00,140500.00,141500.00,78,10962600
1400-J,ルーデン,JQグロース,7000.00,7000.00,6750.00,6750.00,33,230500
1401-F,エムビーエス,福証Q-Board,,,,,0,0
