コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,164.00,167.00,161.00,165.00,809000,132688000
1305-T,ETFTPX,東証,870.00,870.00,858.00,860.00,335000,289006500
1306-T,TOPIX投,東証,873.00,873.00,860.00,863.00,3393580,2934326630
1308-T,上場TPX,東証,856.00,860.00,842.00,845.00,848300,719560800
1309-O,上証50連,大証,22300.00,22680.00,22220.00,22680.00,11591,260571500
1310-T,ETF･コア30,東証,462.00,462.00,461.00,461.00,600,277100
1311-T,TOPIX30,東証,472.00,472.00,464.00,466.00,108790,51073540
1312-O,RN小型コア,大証,8720.00,8720.00,8650.00,8660.00,32,278910
1313-T,KODEX200,東証,2297.00,2297.00,2260.00,2260.00,2040,4650400
1314-T,上場新興,東証,585.00,590.00,585.00,587.00,800,469400
1316-T,上場大型,東証,589.00,592.00,589.00,590.00,200,118170
1317-T,上場中型,東証,877.00,877.00,877.00,877.00,10,8770
1318-T,上場小型,東証,900.00,900.00,898.00,898.00,20,17980
1319-T,300投信,東証,141.00,141.00,137.00,139.00,17000,2349000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9830.00,9840.00,9720.00,9760.00,171890,1679500700
1321-O,225投信,大証,9850.00,9860.00,9740.00,9770.00,264786,2593651200
1322-T,上場パンタ,東証,3715.00,3795.00,3710.00,3795.00,6890,25866600
1323-O,南ア40,大証,363.00,365.00,361.00,365.00,11500,4183100
1324-O,RTS連動,大証,181.00,184.00,180.00,183.00,183300,33357800
1325-T,ボベスパ,東証,313.00,317.00,311.00,317.00,518200,162853900
1326-T,SPDRゴール,東証,12060.00,12120.00,12040.00,12100.00,55157,666485460
1327-T,EASY商品,東証,4400.00,4420.00,4395.00,4410.00,1049,4618095
1328-O,金連動,大証,3565.00,3580.00,3560.00,3570.00,81160,289572000
1329-T,iS225,東証,9820.00,9820.00,9700.00,9700.00,1350,13192800
1330-T,上場225,東証,9890.00,9900.00,9780.00,9820.00,374030,3681959400
1332-T,日水,東証1部,213.00,218.00,211.00,216.00,4187400,897039100
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,116.00,120.00,114.00,118.00,4051000,473259000
1343-T,REIT-ETF,東証,1116.00,1122.00,1111.00,1113.00,37750,42173500
1344-T,MXSコア30,東証,463.00,463.00,457.00,457.00,9570,4396660
1345-T,上場Jリート,東証,1070.00,1079.00,1070.00,1072.00,17800,19113700
1346-O,MXS225,大証,9870.00,9870.00,9740.00,9790.00,18790,184367290
1347-T,上場グリチ,東証,3235.00,3235.00,3235.00,3235.00,10,32350
1348-T,MXSトピクス,東証,863.00,865.00,850.00,854.00,138380,118153620
