コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,242.00,255.00,230.00,253.00,10770000,2645121000
1305-T,ETFTPX,東証,1114.00,1133.00,1105.00,1131.00,639090,715426180
1306-T,TOPIX投,東証,1113.00,1131.00,1102.00,1131.00,5516600,6160374730
1308-T,上場TPX,東証,1099.00,1115.00,1090.00,1115.00,263700,291329500
1309-O,上証50連,大証,16990.00,17300.00,16920.00,17010.00,2320,39726110
1310-T,ETF･コア30,東証,588.00,592.00,587.00,592.00,330,194320
1311-T,TOPIX30,東証,600.00,607.00,599.00,606.00,43060,26060130
1312-O,RN小型コア,大証,11550.00,11620.00,11390.00,11620.00,44,505210
1313-T,KODEX200,東証,1966.00,1971.00,1947.00,1971.00,120,235780
1314-T,上場新興,東証,963.00,970.00,940.00,940.00,8400,8004300
1316-T,上場大型,東証,735.00,745.00,735.00,745.00,2460,1813970
1317-T,上場中型,東証,1163.00,1192.00,1161.00,1172.00,230,269590
1318-T,上場小型,東証,1220.00,1249.00,1201.00,1249.00,1910,2323650
1319-T,300投信,東証,201.00,206.00,201.00,206.00,10000,2046000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,13300.00,13610.00,13220.00,13600.00,161255,2167395950
1321-O,225投信,大証,13300.00,13610.00,13210.00,13610.00,724687,9734437340
1322-T,上場パンタ,東証,2651.00,2750.00,2631.00,2685.00,7240,19505060
1323-O,南ア40,大証,317.00,319.00,313.00,319.00,1700,538200
1324-O,RTS連動,大証,114.00,115.00,114.00,115.00,20900,2392300
1325-T,ボベスパ,東証,178.00,181.00,178.00,180.00,94500,16957000
1326-T,SPDRゴール,東証,11620.00,11780.00,11620.00,11740.00,30323,355275260
1327-T,EASY商品,東証,4125.00,4200.00,4000.00,4200.00,265,1085010
1328-O,金連動,大証,3450.00,3500.00,3400.00,3495.00,27460,94925400
1329-T,iS225,東証,13290.00,13440.00,13200.00,13400.00,3120,41663000
1330-T,上場225,東証,13360.00,13600.00,13260.00,13570.00,352700,4748905500
1332-T,日水,東証1部,186.00,190.00,183.00,189.00,1428700,267008800
