コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,289.00,293.00,280.00,281.00,5562000,1598871000
1305-T,ETFTPX,東証,1226.00,1231.00,1200.00,1200.00,1286640,1561040530
1306-T,TOPIX投,東証,1218.00,1220.00,1187.00,1189.00,10190250,12286302680
1308-T,上場TPX,東証,1204.00,1205.00,1174.00,1174.00,751200,892297100
1309-O,上証50連,大証,17490.00,17660.00,17030.00,17180.00,3910,67694260
1310-T,ETF･コア30,東証,634.00,635.00,616.00,618.00,17180,10813030
1311-T,TOPIX30,東証,665.00,665.00,647.00,649.00,69650,45952500
1312-O,RN小型コア,大証,12800.00,12810.00,12570.00,12570.00,41,522610
1313-T,KODEX200,東証,2100.00,2100.00,2053.00,2053.00,210,436980
1314-T,上場新興,東証,1124.00,1124.00,1065.00,1066.00,14000,15303100
1316-T,上場大型,東証,804.00,805.00,788.00,793.00,7230,5740550
1317-T,上場中型,東証,1258.00,1288.00,1258.00,1272.00,1120,1425820
1318-T,上場小型,東証,1334.00,1363.00,1323.00,1331.00,5590,7513460
1319-T,300投信,東証,219.00,225.00,210.00,210.00,84000,18365000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,14670.00,14700.00,14270.00,14300.00,226887,3298780750
1321-O,225投信,大証,14680.00,14700.00,14240.00,14290.00,1090614,15844635490
1322-T,上場パンタ,東証,2900.00,2900.00,2835.00,2870.00,2620,7516190
1323-O,南ア40,大証,333.00,333.00,331.00,331.00,1000,332700
1324-O,RTS連動,大証,119.00,120.00,118.00,118.00,18100,2146400
1325-T,ボベスパ,東証,180.00,181.00,178.00,179.00,154200,27736500
1326-T,SPDRゴール,東証,11950.00,12000.00,11900.00,11940.00,10652,127254330
1327-T,EASY商品,東証,4355.00,4410.00,4330.00,4385.00,162,708270
1328-O,金連動,大証,3550.00,3550.00,3530.00,3530.00,14910,52772450
1329-T,iS225,東証,14700.00,14790.00,14380.00,14380.00,9060,131926200
