コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,177.00,177.00,153.00,157.00,649000,107271000
1305-T,ETFTPX,東証,829.00,829.00,709.00,786.00,665900,519445100
1306-T,TOPIX投,東証,815.00,817.00,715.00,783.00,15536400,12151581830
1308-T,上場TPX,東証,814.00,815.00,701.00,772.00,648000,502360000
1309-O,上証50連,大証,21000.00,21030.00,19560.00,20130.00,30351,616193380
1310-T,ETF･コア30,東証,463.00,463.00,420.00,443.00,8100,3570900
1311-T,TOPIX30,東証,469.00,469.00,400.00,430.00,85010,37182590
1312-O,RN小型コア,大証,8100.00,8100.00,7100.00,7450.00,2284,17396600
1313-T,KODEX200,東証,1974.00,1974.00,1811.00,1905.00,3260,6336740
1314-T,上場新興,東証,560.00,562.00,472.00,500.00,37500,20420800
1316-T,上場大型,東証,610.00,620.00,490.00,527.00,740,385620
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,879.00,879.00,800.00,870.00,750,636060
1319-T,300投信,東証,139.00,139.00,107.00,137.00,165000,21006000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9340.00,9380.00,8160.00,8810.00,691370,6057666000
1321-O,225投信,大証,9340.00,9410.00,8180.00,8950.00,2469541,21826979970
1322-T,上場パンタ,東証,3485.00,3485.00,3105.00,3290.00,46400,151249050
1323-O,南ア40,大証,318.00,323.00,301.00,321.00,49600,15735600
1324-O,RTS連動,大証,154.00,157.00,148.00,155.00,337400,51268300
1325-T,ボベスパ,東証,278.00,285.00,265.00,285.00,1358400,375162500
1326-T,SPDRゴール,東証,11380.00,11390.00,11190.00,11260.00,157230,1773971340
1327-T,EASY商品,東証,4080.00,4080.00,3750.00,3850.00,2034,8039945
1328-O,金連動,大証,3390.00,3395.00,3320.00,3365.00,88120,296022850
1329-T,iS225,東証,9240.00,9270.00,8300.00,8550.00,30990,269260200
1330-T,上場225,東証,9590.00,9590.00,8280.00,8790.00,1160060,10411791100
1332-T,日水,東証1部,259.00,260.00,203.00,223.00,5476000,1268575300
1332-O,日水,大証1部,236.00,236.00,236.00,236.00,4000,944000
1334-T,マルハニチロHD,東証1部,131.00,132.00,102.00,112.00,5772000,678179000
1343-T,REIT-ETF,東証,1016.00,1028.00,864.00,969.00,399180,378481730
1344-T,MXSコア30,東証,462.00,462.00,392.00,438.00,46230,19922110
1345-T,上場Jリート,東証,984.00,990.00,870.00,960.00,192800,180705700
1346-O,MXS225,大証,9340.00,9390.00,8120.00,8850.00,56431,502287510
1347-T,上場グリチ,東証,2910.00,2910.00,2790.00,2910.00,460,1318500
1348-T,MXSトピクス,東証,837.00,837.00,703.00,777.00,411380,319203200
1349-T,アジア債券,東証,9900.00,10080.00,9800.00,9890.00,560,5528960
1352-T,ホウスイ,東証1部,96.00,96.00,58.00,80.00,221000,17353000
1376-J,カネコ種,JQスタンダード,699.00,699.00,611.00,645.00,50300,33231300
1377-T,サカタのタネ,東証1部,1070.00,1070.00,980.00,1021.00,211500,215798700
1378-T,雪国マイタケ,東証2部,465.00,470.00,417.00,430.00,30800,13452500
1379-T,ホクト,東証1部,1730.00,1750.00,1500.00,1603.00,277400,452497900
1380-J,秋川牧園,JQスタンダード,398.00,398.00,398.00,398.00,1000,398000
1381-J,アクシーズ,JQスタンダード,680.00,683.00,644.00,644.00,500,329500
1382-J,ホーブ,JQスタンダード,140000.00,145000.00,138000.00,142000.00,12,1672500
1400-J,ルーデン,JQグロース,6000.00,6000.00,5200.00,5200.00,226,1230230
1401-F,エムビーエス,福証Q-Board,56600.00,56600.00,56600.00,56600.00,6,339600
1405-T,サーラ住宅,東証2部,337.00,337.00,270.00,300.00,5600,1725600
1407-J,ウエストHD,JQスタンダード,450.00,488.00,450.00,450.00,286000,128999000
1408-J,サムシングHD,JQグロース,53000.00,53000.00,43300.00,43300.00,34,1604300
1412-T,チャイナボーチ,東証1部外国,16050.00,17400.00,14000.00,14600.00,2269,34498380
1414-T,ショーボンド,東証1部,2150.00,2170.00,1774.00,2150.00,993800,2003645300
1417-T,ミライトHD,東証1部,548.00,550.00,458.00,499.00,196100,96203500
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,86.00,86.00,60.00,60.00,444800,30526500
1491-T,中外鉱,東証2部,26.00,27.00,17.00,21.00,2638600,60640200
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,67.00,69.00,41.00,54.00,2427500,137878500
1515-T,日鉄鉱,東証1部,338.00,344.00,271.00,289.00,568000,169430000
1518-T,三井松,東証1部,132.00,136.00,87.00,105.00,12645000,1427579000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,3775.00,3800.00,3720.00,3740.00,105491,395166320
1541-T,純プラ信,東証,4600.00,4640.00,4500.00,4520.00,8120,37021055
1542-T,純銀信託,東証,9200.00,9370.00,8710.00,9180.00,35912,327035270
1543-T,純パラ信,東証,19210.00,19600.00,18250.00,18730.00,2043,39164020
1544-T,上場MSジ,東証,698.00,698.00,498.00,498.00,200,119600
1545-O,NASDAQ投,大証,1874.00,1875.00,1829.00,1841.00,8440,15550420
1546-O,NYダウ30,大証,9890.00,9920.00,9630.00,9750.00,1320,12849680
1547-T,上場米国,東証,1125.00,1142.00,960.00,1079.00,2870,3084260
1548-T,上場チャイナ,東証,916.00,916.00,850.00,863.00,4600,4109940
1549-T,上場インド,東証,860.00,860.00,831.00,850.00,23560,20036250
1550-T,MXS外株,東証,1112.00,1150.00,1048.00,1061.00,22880,24578060
1551-O,JASDAQ20,大証,1371.00,1380.00,1131.00,1200.00,69490,84791930
1552-O,VIX短期,大証,10600.00,11290.00,10600.00,11120.00,11430,125269720
1554-T,上場MS世,東証,990.00,1070.00,965.00,965.00,2550,2559910
1555-T,上場Aリート,東証,990.00,1014.00,965.00,1000.00,8780,8599600
1556-T,上場日中,東証,1020.00,1020.00,915.00,915.00,440,405750
1605-T,国際帝石,東証1部,510000.00,512000.00,425500.00,496000.00,50016,24260167500
1606-T,海洋掘削,東証1部,2795.00,2795.00,2245.00,2559.00,180300,458442700
1610-T,ETF･電機,東証,1169.00,1169.00,1146.00,1164.00,1100,1274700
1612-T,ETF･銀行,東証,108.00,111.00,101.00,108.00,58000,6162000
1613-T,電機,東証,1180.00,1180.00,1011.00,1131.00,2240,2541630
1615-T,銀行,東証,115.00,117.00,100.00,110.00,4572300,503493300
1617-T,食品,東証,12180.00,12210.00,11400.00,11400.00,68,801710
1618-T,エネ資源,東証,11700.00,11700.00,9340.00,11300.00,1910,20269150
1619-T,建設資材,東証,12440.00,12440.00,10190.00,10960.00,16680,191929070
1620-T,素材化学,東証,9760.00,9760.00,8690.00,9200.00,59,536110
1621-T,医薬品,東証,10420.00,10420.00,9150.00,9400.00,1323,12822330
1622-T,自動車,東証,11380.00,11380.00,10400.00,10690.00,339,3769750
1623-T,鉄鋼非鉄,東証,17320.00,17320.00,15600.00,16300.00,57,948670
1624-T,機械,東証,16680.00,16690.00,14900.00,15830.00,94,1465680
1625-T,電機精密,東証,9220.00,9220.00,8100.00,8590.00,160,1351560
1626-T,情通サ他,東証,8390.00,8390.00,7600.00,7720.00,33,255430
1627-T,電力ガス,東証,8500.00,8650.00,8050.00,8050.00,1950,16208050
1628-T,運輸物流,東証,8600.00,8600.00,7720.00,7980.00,345,2886640
1629-T,商社卸売,東証,16810.00,16810.00,15000.00,15620.00,552,8659390
1630-T,小売,東証,6910.00,6910.00,6910.00,6910.00,10,69100
1631-T,銀行・17,東証,6990.00,6990.00,6000.00,6610.00,3372,21324130
1632-T,金融,東証,6730.00,6730.00,5900.00,6440.00,1110,7192770
1633-T,不動産,東証,15490.00,15490.00,12460.00,13790.00,721,10432320
1634-T,ダイワ食品,東証,,,,,0,0
1635-T,ダイワエネ,東証,11180.00,11190.00,10940.00,11010.00,330,3659100
1636-T,ダイワ建設,東証,12420.00,12420.00,10750.00,10930.00,1692,19589140
1637-T,ダイワ素材,東証,10500.00,10500.00,9620.00,9620.00,301,2946000
1638-T,ダイワ医薬,東証,9490.00,9490.00,9220.00,9220.00,215,2016540
1639-T,ダイワ自動,東証,11220.00,11220.00,11010.00,11080.00,203,2245010
1640-T,ダイワ鉄鋼,東証,19110.00,19110.00,16850.00,16850.00,104,1792430
1641-T,ダイワ機械,東証,16710.00,16710.00,16370.00,16440.00,200,3311500
1642-T,ダイワ電機,東証,8870.00,8870.00,8710.00,8790.00,500,4404500
1643-T,ダイワ情報,東証,8080.00,8080.00,8080.00,8080.00,50,404000
1644-T,ダイワ電力,東証,9010.00,9010.00,8190.00,8190.00,101,885180
1645-T,ダイワ運輸,東証,8220.00,8280.00,8220.00,8280.00,80,658200
1646-T,ダイワ商社,東証,18410.00,18410.00,18040.00,18140.00,105,1901050
1647-T,ダイワ小売,東証,7650.00,7710.00,7650.00,7710.00,230,1764300
1648-T,ダイワ銀行,東証,6960.00,7030.00,6960.00,7030.00,150,1047500
1649-T,ダイワ金融,東証,6320.00,6360.00,6320.00,6360.00,120,760600
1650-T,ダイワ不動,東証,14630.00,14720.00,14630.00,14720.00,300,4402500
1661-T,ガス開,東証1部,437.00,443.00,357.00,379.00,570000,219938000
1662-T,石油資源,東証1部,3325.00,3350.00,2740.00,3070.00,472900,1463343900
1670-T,MXS三菱,東証,97.00,97.00,83.00,91.00,353200,31921500
1671-O,WTI原油,大証,5740.00,5800.00,5440.00,5690.00,62245,352865820
1672-T,金ETF,東証,11490.00,11490.00,11330.00,11330.00,1806,20491070
1673-T,銀ETF,東証,2831.00,2888.00,2775.00,2794.00,6060,17114100
1674-T,プラチナETF,東証,13800.00,14180.00,13640.00,13660.00,249,3424830
1675-T,パラジETF,東証,5960.00,6050.00,5910.00,5910.00,3110,18456700
1676-T,キンゾクETF,東証,,,,,0,0
