コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,210.00,212.00,210.00,212.00,540000,114065000
1305-T,ETFTPX,東証,963.00,966.00,958.00,962.00,220400,212440200
1306-T,TOPIX投,東証,969.00,972.00,962.00,967.00,1790700,1731987130
1308-T,上場TPX,東証,945.00,949.00,941.00,944.00,140100,132285400
1309-O,上証50連,大証,28040.00,28100.00,27960.00,28020.00,5432,152225450
1310-T,ETF･コア30,東証,541.00,543.00,538.00,539.00,1500,809200
1311-T,TOPIX30,東証,548.00,548.00,544.00,545.00,26830,14641530
1312-O,RN小型コア,大証,9350.00,9350.00,9350.00,9350.00,4,37400
1313-T,KODEX200,東証,1778.00,1794.00,1778.00,1778.00,500,893520
1314-T,上場新興,東証,620.00,620.00,610.00,610.00,1000,619000
1316-T,上場大型,東証,674.00,678.00,674.00,678.00,2310,1561380
1317-T,上場中型,東証,962.00,972.00,962.00,972.00,1040,1005680
1318-T,上場小型,東証,955.00,955.00,955.00,955.00,20,19100
1319-T,300投信,東証,162.00,162.00,162.00,162.00,12000,1944000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,10890.00,10940.00,10820.00,10850.00,71430,776736600
1321-O,225投信,大証,10940.00,10980.00,10860.00,10900.00,278338,3041627490
1322-T,上場パンタ,東証,3910.00,3945.00,3910.00,3935.00,12740,49987900
1323-O,南ア40,大証,315.00,316.00,312.00,314.00,9700,3042300
1324-O,RTS連動,大証,148.00,148.00,146.00,147.00,73400,10811600
1325-T,ボベスパ,東証,318.00,319.00,315.00,316.00,254300,80515600
1326-T,SPDRゴール,東証,9780.00,9800.00,9760.00,9780.00,37599,367472220
1327-T,EASY商品,東証,3850.00,3860.00,3825.00,3825.00,232,893095
1328-O,金連動,大証,3000.00,3010.00,2995.00,2997.00,57500,172537810
1329-T,iS225,東証,10860.00,10930.00,10810.00,10840.00,2000,21761800
1330-T,上場225,東証,11000.00,11040.00,10920.00,10950.00,202380,2221954000
1332-T,日水,東証1部,275.00,276.00,272.00,275.00,1112600,305166600
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,133.00,137.00,132.00,136.00,6683000,903623000
1343-T,REIT-ETF,東証,963.00,963.00,951.00,954.00,35290,33799020
1344-T,MXSコア30,東証,546.00,547.00,545.00,545.00,100200,54709220
1345-T,上場Jリート,東証,946.00,946.00,930.00,935.00,20100,18802400
1346-O,MXS225,大証,10880.00,10910.00,10800.00,10830.00,115,1248340
1347-T,上場グリチ,東証,3590.00,3590.00,3560.00,3560.00,830,2965450
1348-T,MXSトピクス,東証,956.00,956.00,948.00,949.00,1330,1270680
1349-T,アジア債券,東証,10770.00,10770.00,10580.00,10760.00,125,1340240
1352-T,ホウスイ,東証1部,123.00,123.00,119.00,121.00,60000,7227000
1376-J,カネコ種,JQ,740.00,740.00,728.00,738.00,7700,5659000
1377-T,サカタのタネ,東証1部,1250.00,1250.00,1231.00,1241.00,53900,66873500
1378-T,雪国マイタケ,東証2部,457.00,462.00,456.00,459.00,51400,23536400
1379-T,ホクト,東証1部,1946.00,1951.00,1936.00,1940.00,102100,198192000
1380-J,秋川牧園,JQ,,,,,0,0
