コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,196.00,200.00,196.00,198.00,474000,93866000
1305-T,ETFTPX,東証,910.00,913.00,906.00,913.00,34500,31411500
1306-T,TOPIX投,東証,915.00,918.00,911.00,917.00,2442950,2234185860
1308-T,上場TPX,東証,894.00,897.00,890.00,897.00,295200,264059700
1309-O,上証50連,大証,28000.00,28060.00,27770.00,27820.00,6387,178523340
1310-T,ETF･コア30,東証,509.00,509.00,509.00,509.00,700,356300
1311-T,TOPIX30,東証,520.00,520.00,514.00,514.00,2400,1244910
1312-O,RN小型コア,大証,8770.00,8800.00,8770.00,8800.00,51,448590
1313-T,KODEX200,東証,1777.00,1777.00,1735.00,1735.00,710,1243830
1314-T,上場新興,東証,585.00,585.00,585.00,585.00,100,58500
1316-T,上場大型,東証,,,,,0,0
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,160.00,160.00,157.00,157.00,8000,1277000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,10250.00,10290.00,10200.00,10280.00,155630,1595770900
1321-O,225投信,大証,10300.00,10340.00,10240.00,10330.00,301454,3104040720
1322-T,上場パンタ,東証,3915.00,3930.00,3905.00,3910.00,6880,26936950
1323-O,南ア40,大証,289.00,292.00,287.00,287.00,8800,2543400
1324-O,RTS連動,大証,137.00,138.00,137.00,137.00,31600,4333100
1325-T,ボベスパ,東証,298.00,301.00,298.00,301.00,304900,91206700
1326-T,SPDRゴール,東証,9770.00,9790.00,9760.00,9770.00,18626,181998830
1327-T,EASY商品,東証,3810.00,3830.00,3770.00,3775.00,365,1383550
1328-O,金連動,大証,2985.00,2985.00,2961.00,2962.00,41380,122806240
1329-T,iS225,東証,10290.00,10310.00,10230.00,10280.00,10010,102833400
1330-T,上場225,東証,10360.00,10400.00,10300.00,10380.00,179400,1857932900
1332-T,日水,東証1部,257.00,259.00,255.00,259.00,1574800,404929500
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,127.00,128.00,126.00,128.00,1138000,144464000
1343-T,REIT-ETF,東証,960.00,960.00,950.00,950.00,14190,13563530
1344-T,MXSコア30,東証,,,,,0,0
1345-T,上場Jリート,東証,935.00,937.00,934.00,934.00,16300,15242200
1346-O,MXS225,大証,10240.00,10250.00,10180.00,10230.00,3184,32571240
1347-T,上場グリチ,東証,3300.00,3310.00,3300.00,3310.00,20,66100
1348-T,MXSトピクス,東証,900.00,900.00,896.00,900.00,2430,2186880
1349-T,アジア債券,東証,10360.00,10510.00,10360.00,10510.00,1101,11482500
1352-T,ホウスイ,東証1部,107.00,109.00,106.00,107.00,66000,7051000
1376-J,カネコ種,JQ,711.00,715.00,706.00,711.00,9000,6392600
1377-T,サカタのタネ,東証1部,1194.00,1197.00,1191.00,1195.00,95700,114283300
1378-T,雪国マイタケ,東証2部,423.00,424.00,422.00,422.00,18100,7668000
1379-T,ホクト,東証1部,1882.00,1890.00,1877.00,1879.00,81400,153142300
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,,,,,0,0
1382-J,ホーブ,JQ,,,,,0,0
1400-H,ルーデン,HCグロース,5060.00,5750.00,4900.00,5600.00,181,956115
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,335.00,335.00,333.00,333.00,3500,1172300
1407-J,ウエストHD,JQ,1290.00,1332.00,1283.00,1324.00,192700,253244500
1408-H,サムシングHD,HCグロース,,,,,0,0
1412-T,チャイナボーチ,東証1部外国,22300.00,22370.00,21770.00,22180.00,200,4399730
1414-T,ショーボンド,東証1部,1696.00,1725.00,1687.00,1720.00,97500,167148600
1491-T,中外鉱,東証2部,36.00,37.00,36.00,36.00,263000,9488400
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,88.00,89.00,85.00,87.00,567700,49233700
1515-T,日鉄鉱,東証1部,397.00,398.00,393.00,398.00,144000,57047000
1518-T,三井松,東証1部,174.00,174.00,170.00,172.00,3632000,626007000
1518-F,三井松,福証,,,,,0,0
1605-T,国際帝石,東証1部,647000.00,653000.00,646000.00,651000.00,3698,2400504000
1606-T,海洋掘削,東証1部,4840.00,4845.00,4590.00,4645.00,182400,852909500
1610-T,ETF･電機,東証,1305.00,1305.00,1305.00,1305.00,100,130500
1612-T,ETF･銀行,東証,131.00,131.00,131.00,131.00,16000,2096000
1613-T,電機,東証,1295.00,1295.00,1277.00,1280.00,130,167870
1615-T,銀行,東証,139.00,139.00,138.00,139.00,1274800,177149200
1617-T,食品,東証,14240.00,14240.00,14170.00,14170.00,9,127910
1618-T,エネ資源,東証,11850.00,11890.00,11790.00,11850.00,260,3080350
1619-T,建設資材,東証,,,,,0,0
1620-T,素材化学,東証,10720.00,10720.00,10660.00,10660.00,3,32100
1621-T,医薬品,東証,10870.00,10900.00,10870.00,10880.00,311,3385640
1622-T,自動車,東証,11620.00,11620.00,11600.00,11620.00,46,534220
1623-T,鉄鋼非鉄,東証,20970.00,21000.00,20900.00,20900.00,21,439800
1624-T,機械,東証,16100.00,16120.00,16070.00,16110.00,264,4252640
1625-T,電機精密,東証,10210.00,10310.00,10210.00,10310.00,11,112410
