コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,193.00,194.00,192.00,193.00,188000,36261000
1305-T,ETFTPX,東証,911.00,925.00,911.00,919.00,414900,379814000
1306-T,TOPIX投,東証,919.00,930.00,918.00,924.00,2615950,2416135270
1308-T,上場TPX,東証,898.00,908.00,898.00,901.00,305500,275823900
1309-O,上証50連,大証,28150.00,28580.00,28150.00,28320.00,8695,246779850
1310-T,ETF･コア30,東証,517.00,520.00,517.00,520.00,300,155400
1311-T,TOPIX30,東証,516.00,522.00,516.00,519.00,4700,2438990
1312-O,RN小型コア,大証,,,,,0,0
1313-T,KODEX200,東証,1740.00,1745.00,1740.00,1745.00,30,52260
1314-T,上場新興,東証,566.00,577.00,566.00,577.00,1300,743000
1316-T,上場大型,東証,,,,,0,0
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,962.00,962.00,912.00,912.00,550,515720
1319-T,300投信,東証,153.00,156.00,153.00,155.00,21000,3231000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,10370.00,10490.00,10370.00,10420.00,182550,1907161900
1321-O,225投信,大証,10420.00,10550.00,10420.00,10480.00,493813,5176334730
1322-T,上場パンタ,東証,3905.00,3945.00,3905.00,3910.00,16060,62913200
1323-O,南ア40,大証,289.00,290.00,288.00,289.00,26800,7743800
1324-O,RTS連動,大証,140.00,140.00,139.00,139.00,44400,6205500
1325-T,ボベスパ,東証,308.00,309.00,305.00,306.00,295600,90741200
1326-T,SPDRゴール,東証,10100.00,10160.00,10080.00,10090.00,54646,552685190
1327-T,EASY商品,東証,3860.00,3940.00,3860.00,3925.00,1073,4199920
1328-O,金連動,大証,3060.00,3070.00,3040.00,3040.00,71720,219386800
1329-T,iS225,東証,10400.00,10520.00,10400.00,10440.00,1460,15279000
1330-T,上場225,東証,10470.00,10610.00,10470.00,10540.00,752650,7931411700
1332-T,日水,東証1部,259.00,261.00,257.00,261.00,467200,121562300
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,123.00,125.00,123.00,125.00,1071000,132857000
1343-T,REIT-ETF,東証,937.00,938.00,934.00,936.00,9690,9072570
1344-T,MXSコア30,東証,523.00,523.00,523.00,523.00,20,10460
1345-T,上場Jリート,東証,912.00,920.00,912.00,920.00,12300,11241400
1346-O,MXS225,大証,10350.00,10470.00,10350.00,10390.00,3553,36843750
