コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,186.00,186.00,184.00,184.00,59000,10921000
1305-T,ETFTPX,東証,905.00,905.00,900.00,901.00,61000,54977800
1306-T,TOPIX投,東証,912.00,912.00,905.00,908.00,621060,564338330
1308-T,上場TPX,東証,892.00,892.00,884.00,885.00,126700,112313000
1309-O,上証50連,大証,23930.00,24160.00,23900.00,23910.00,8259,198064590
1310-T,ETF･コア30,東証,490.00,490.00,489.00,489.00,700,342400
1311-T,TOPIX30,東証,500.00,500.00,494.00,494.00,1560,775340
1312-O,RN小型コア,大証,9290.00,9290.00,9290.00,9290.00,5,46450
1313-T,KODEX200,東証,1700.00,1700.00,1691.00,1696.00,240,407780
1314-T,上場新興,東証,569.00,569.00,568.00,569.00,900,511900
1316-T,上場大型,東証,630.00,630.00,630.00,630.00,10,6300
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,153.00,164.00,153.00,164.00,66000,10355000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,10140.00,10150.00,10080.00,10100.00,55510,561818800
1321-O,225投信,大証,10220.00,10220.00,10140.00,10160.00,208518,2122866320
1322-T,上場パンタ,東証,3590.00,3625.00,3575.00,3575.00,4460,15997150
1323-O,南ア40,大証,287.00,293.00,287.00,289.00,18600,5372000
1324-O,RTS連動,大証,139.00,139.00,137.00,137.00,37600,5202600
1325-T,ボベスパ,東証,290.00,290.00,287.00,287.00,141500,40858300
1326-T,SPDRゴール,東証,11070.00,11100.00,11040.00,11060.00,16407,181457030
1327-T,EASY商品,東証,3635.00,3650.00,3635.00,3650.00,39,141895
1328-O,金連動,大証,3320.00,3320.00,3290.00,3320.00,34820,115152100
1329-T,iS225,東証,10150.00,10150.00,10100.00,10100.00,1670,16936400
1330-T,上場225,東証,10260.00,10260.00,10170.00,10220.00,201160,2055486000
1332-T,日水,東証1部,284.00,288.00,283.00,287.00,1222800,349815800
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,147.00,149.00,146.00,148.00,1812000,268424000
1343-T,REIT-ETF,東証,945.00,945.00,930.00,930.00,20360,19034310
1344-T,MXSコア30,東証,498.00,498.00,489.00,491.00,13670,6708810
1345-T,上場Jリート,東証,934.00,934.00,920.00,924.00,14300,13190900
1346-O,MXS225,大証,10130.00,10150.00,10070.00,10080.00,715,7229090
1347-T,上場グリチ,東証,3200.00,3200.00,3200.00,3200.00,50,160000
1348-T,MXSトピクス,東証,900.00,900.00,888.00,891.00,22020,19598980
1349-T,アジア債券,東証,10730.00,10730.00,10600.00,10660.00,84,890810
1352-T,ホウスイ,東証1部,120.00,120.00,118.00,119.00,10000,1189000
1376-J,カネコ種,JQ,713.00,720.00,710.00,711.00,1800,1283300
1377-T,サカタのタネ,東証1部,1195.00,1195.00,1182.00,1186.00,46100,54734200
1378-T,雪国マイタケ,東証2部,534.00,536.00,533.00,534.00,13700,7316200
