コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,168.00,168.00,162.00,164.00,687000,113564000
1305-T,ETFTPX,東証,830.00,832.00,828.00,828.00,103000,85403400
1306-T,TOPIX投,東証,833.00,837.00,831.00,832.00,5558940,4628663120
1308-T,上場TPX,東証,817.00,820.00,815.00,816.00,106400,86800900
1309-O,上証50連,大証,24870.00,24980.00,24700.00,24700.00,7279,180997510
1310-T,ETF･コア30,東証,451.00,453.00,451.00,453.00,600,270800
1311-T,TOPIX30,東証,460.00,461.00,459.00,460.00,6850,3151170
1312-O,RN小型コア,大証,8050.00,8080.00,8030.00,8040.00,1200,9664000
1313-T,KODEX200,東証,1815.00,1829.00,1815.00,1819.00,410,745940
1314-T,上場新興,東証,,,,,0,0
1316-T,上場大型,東証,,,,,0,0
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,818.00,818.00,818.00,818.00,20,16360
1319-T,300投信,東証,149.00,155.00,149.00,155.00,66000,10018000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9460.00,9520.00,9420.00,9420.00,88100,834476300
1321-O,225投信,大証,9470.00,9550.00,9450.00,9460.00,553570,5257914290
1322-T,上場パンタ,東証,3900.00,3930.00,3820.00,3895.00,11910,46200100
1323-O,南ア40,大証,311.00,311.00,310.00,310.00,5100,1584700
1324-O,RTS連動,大証,132.00,132.00,130.00,130.00,40600,5328400
1325-T,ボベスパ,東証,296.00,296.00,293.00,293.00,115900,34137700
1326-T,SPDRゴール,東証,10590.00,10610.00,10550.00,10560.00,29583,313194360
1327-T,EASY商品,東証,3515.00,3520.00,3460.00,3520.00,71,249305
1328-O,金連動,大証,3125.00,3135.00,3115.00,3125.00,104120,325434700
1329-T,iS225,東証,9420.00,9430.00,9420.00,9420.00,150,1414000
1330-T,上場225,東証,9530.00,9580.00,9490.00,9500.00,309640,2952065400
1332-T,日水,東証1部,265.00,267.00,262.00,263.00,774900,204642800
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,132.00,133.00,132.00,133.00,1022000,135341000
1343-T,REIT-ETF,東証,989.00,998.00,988.00,998.00,21190,21046240
1344-T,MXSコア30,東証,455.00,455.00,450.00,451.00,3860,1747340
1345-T,上場Jリート,東証,961.00,968.00,961.00,968.00,6700,6464900
1346-O,MXS225,大証,9520.00,9580.00,9490.00,9490.00,8073,76910400
1347-T,上場グリチ,東証,3065.00,3080.00,3065.00,3080.00,150,460400
1348-T,MXSトピクス,東証,827.00,829.00,823.00,823.00,8360,6905390
1349-T,アジア債券,東証,10140.00,10140.00,10090.00,10130.00,224,2267380
1352-T,ホウスイ,東証1部,95.00,96.00,95.00,96.00,16000,1525000
1376-J,カネコ種,JQスタンダード,738.00,738.00,725.00,727.00,2000,1455100
1377-T,サカタのタネ,東証1部,1049.00,1050.00,1042.00,1042.00,51300,53661000
1378-T,雪国マイタケ,東証2部,518.00,518.00,515.00,515.00,2700,1393400
1379-T,ホクト,東証1部,1888.00,1918.00,1871.00,1906.00,209000,397604400
1380-J,秋川牧園,JQスタンダード,,,,,0,0
1381-J,アクシーズ,JQスタンダード,728.00,732.00,728.00,731.00,2500,1826700
1382-J,ホーブ,JQスタンダード,153000.00,153000.00,153000.00,153000.00,2,306000
1400-J,ルーデン,JQグロース,4890.00,4890.00,4750.00,4750.00,7,33570
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,324.00,324.00,322.00,322.00,400,129000
1407-J,ウエストHD,JQスタンダード,715.00,726.00,696.00,707.00,51500,36680200
1408-J,サムシングHD,JQグロース,,,,,0,0
1412-T,チャイナボーチ,東証1部外国,22150.00,22990.00,20880.00,21050.00,1026,22560700
1414-T,ショーボンド,東証1部,1726.00,1733.00,1719.00,1720.00,29700,51197900
1417-T,ミライトHD,東証1部,535.00,548.00,535.00,541.00,107900,58522500
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,170.00,175.00,155.00,171.00,1281000,211266600
1491-T,中外鉱,東証2部,30.00,31.00,30.00,31.00,124400,3779400
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,69.00,72.00,68.00,70.00,504600,35393700
1515-T,日鉄鉱,東証1部,314.00,321.00,314.00,317.00,150000,47707000
1518-T,三井松,東証1部,143.00,151.00,143.00,151.00,7365000,1092109000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,3515.00,3515.00,3500.00,3505.00,14992,52625215
1541-T,純プラ信,東証,4475.00,4475.00,4455.00,4470.00,228,1019345
1542-T,純銀信託,東証,6250.00,6250.00,6150.00,6220.00,4789,29606790
1543-T,純パラ信,東証,15880.00,16200.00,15810.00,16200.00,136,2170460
1544-T,上場MSジ,東証,,,,,0,0
1545-O,NASDAQ投,大証,1714.00,1716.00,1708.00,1708.00,1110,1900870
1546-O,NYダウ30,大証,9080.00,9100.00,9050.00,9050.00,346,3147270
1605-T,国際帝石,東証1部,435000.00,441000.00,434500.00,438000.00,19611,8597434000
1606-T,海洋掘削,東証1部,2598.00,2631.00,2590.00,2590.00,24800,64618200
