コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,183.00,183.00,181.00,181.00,38000,6910000
1305-T,ETFTPX,東証,776.00,781.00,773.00,775.00,24460,18979660
1306-T,TOPIX投,東証,776.00,778.00,771.00,775.00,2342010,1814470890
1308-T,上場TPX,東証,764.00,766.00,759.00,763.00,73200,55799300
1309-O,上証50連,大証,17650.00,17800.00,17410.00,17570.00,1747,30702710
1310-T,ETF･コア30,東証,401.00,405.00,397.00,398.00,3180,1268520
1311-T,TOPIX30,東証,403.00,403.00,400.00,402.00,15000,6015080
1312-O,RN小型コア,大証,8440.00,8440.00,8390.00,8390.00,102,855880
1313-T,KODEX200,東証,1789.00,1789.00,1743.00,1754.00,1110,1949050
1314-T,上場新興,東証,596.00,596.00,596.00,596.00,200,119200
1316-T,上場大型,東証,516.00,523.00,515.00,523.00,130,67760
1317-T,上場中型,東証,829.00,829.00,828.00,828.00,110,91180
1318-T,上場小型,東証,896.00,896.00,896.00,896.00,10,8960
1319-T,300投信,東証,139.00,139.00,137.00,138.00,11000,1523000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9010.00,9040.00,8940.00,8970.00,42201,379665840
1321-O,225投信,大証,9040.00,9070.00,8960.00,9000.00,361333,3257561970
1322-T,上場パンタ,東証,3015.00,3015.00,2950.00,2965.00,2850,8447300
1323-O,南ア40,大証,305.00,305.00,304.00,304.00,2400,731600
1324-O,RTS連動,大証,130.00,136.00,130.00,130.00,31300,4099600
1325-T,ボベスパ,東証,252.00,253.00,247.00,247.00,190300,47597200
1326-T,SPDRゴール,東証,13690.00,13710.00,13670.00,13670.00,25251,345533660
1327-T,EASY商品,東証,3795.00,3900.00,3795.00,3830.00,436,1697285
1328-O,金連動,大証,4210.00,4225.00,4195.00,4225.00,29550,124510500
1329-T,iS225,東証,8980.00,8990.00,8920.00,8950.00,8960,80162000
1330-T,上場225,東証,9060.00,9090.00,8980.00,9030.00,211390,1909503100
1332-T,日水,東証1部,285.00,291.00,285.00,290.00,1753900,507047000
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,130.00,132.00,130.00,131.00,877000,114891000
1343-T,REIT-ETF,東証,1025.00,1025.00,1020.00,1023.00,7460,7629190
1344-T,MXSコア30,東証,396.00,396.00,392.00,393.00,5930,2337680
1345-T,上場Jリート,東証,996.00,996.00,991.00,995.00,10600,10535000
1346-O,MXS225,大証,9080.00,9120.00,9030.00,9060.00,7066,64111500
1347-T,上場グリチ,東証,2865.00,2865.00,2765.00,2765.00,600,1663170
1348-T,MXSトピクス,東証,780.00,780.00,773.00,776.00,18020,13974310
1349-T,アジア債券,東証,9830.00,9830.00,9780.00,9780.00,11,108080
1352-T,ホウスイ,東証1部,91.00,93.00,91.00,91.00,8000,734000
1376-J,カネコ種,JQスタンダード,720.00,725.00,720.00,725.00,600,432600
1377-T,サカタのタネ,東証1部,1120.00,1121.00,1105.00,1114.00,31000,34472700
1378-T,雪国マイタケ,東証2部,380.00,382.00,380.00,380.00,9200,3504300
1379-T,ホクト,東証1部,1718.00,1718.00,1693.00,1706.00,56700,96454100
1380-J,秋川牧園,JQスタンダード,,,,,0,0
1381-J,アクシーズ,JQスタンダード,,,,,0,0
1382-J,ホーブ,JQスタンダード,139500.00,139500.00,139500.00,139500.00,1,139500
1400-J,ルーデン,JQグロース,6010.00,6400.00,6000.00,6150.00,84,506960
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,410.00,410.00,402.00,402.00,3200,1305600
1407-J,ウエストHD,JQスタンダード,928.00,947.00,908.00,922.00,269900,248921700
1408-J,サムシングHD,JQグロース,163100.00,165300.00,162200.00,163600.00,242,39611600
1412-T,チャイナボーチ,東証1部外国,5300.00,5380.00,5260.00,5360.00,343,1821900
1414-T,ショーボンド,東証1部,1832.00,1833.00,1813.00,1821.00,141500,257836300
1417-T,ミライトHD,東証1部,610.00,619.00,606.00,617.00,56500,34764500
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,75.00,76.00,74.00,75.00,17300,1293300
1491-T,中外鉱,東証2部,23.00,24.00,22.00,23.00,1392800,32000400
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,88.00,88.00,86.00,87.00,252000,22044500
1515-T,日鉄鉱,東証1部,325.00,331.00,325.00,326.00,137000,44864000
1518-T,三井松,東証1部,152.00,153.00,150.00,151.00,1161000,175879000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,4530.00,4535.00,4515.00,4520.00,44142,199678820
1541-T,純プラ信,東証,4590.00,4590.00,4560.00,4560.00,834,3817720
1542-T,純銀信託,東証,10090.00,10160.00,10070.00,10140.00,7238,73288340
1543-T,純パラ信,東証,19200.00,19470.00,19200.00,19400.00,146,2813360
1544-T,上場MSジ,東証,,,,,0,0
1545-O,NASDAQ投,大証,1712.00,1720.00,1707.00,1710.00,3150,5384670
1546-O,NYダウ30,大証,8760.00,8810.00,8720.00,8760.00,1792,15699200
1547-T,上場米国,東証,990.00,990.00,971.00,979.00,1380,1354070
1548-T,上場チャイナ,東証,775.00,775.00,764.00,766.00,2600,2007410
1549-T,上場インド,東証,760.00,760.00,750.00,754.00,1160,876210
1550-T,MXS外株,東証,906.00,906.00,901.00,902.00,5310,4796930
1551-O,JASDAQ20,大証,1356.00,1378.00,1351.00,1366.00,1180,1604670
1552-O,VIX短期,大証,12010.00,12120.00,11950.00,12050.00,16433,198006400
1554-T,上場MS世,東証,851.00,851.00,840.00,842.00,2750,2325170
1555-T,上場Aリート,東証,895.00,899.00,889.00,894.00,3020,2700090
1556-T,上場日中,東証,885.00,885.00,884.00,884.00,2020,1786680
1557-T,SPDR500,東証,9280.00,9290.00,9220.00,9220.00,11402,105448950
1559-T,タイSET50,東証,1852.00,1856.00,1839.00,1848.00,812,1503228
1560-T,ブルサKLCI,東証,3760.00,3820.00,3760.00,3805.00,452,1714465
1605-T,国際帝石,東証1部,515000.00,517000.00,500000.00,509000.00,12541,6373105000
1606-T,海洋掘削,東証1部,2664.00,2704.00,2660.00,2696.00,23800,63868900
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,101.00,101.00,100.00,101.00,7200,725400
1613-T,電機,東証,1072.00,1072.00,1062.00,1062.00,300,319890
1615-T,銀行,東証,105.00,106.00,104.00,106.00,899900,94678500
1617-T,食品,東証,12880.00,12880.00,12820.00,12820.00,2,25700
1618-T,エネ資源,東証,11580.00,11580.00,11400.00,11450.00,51,586150
1619-T,建設資材,東証,11100.00,11100.00,11060.00,11070.00,33,365430
1620-T,素材化学,東証,9820.00,9820.00,9730.00,9730.00,5,48870
1621-T,医薬品,東証,9560.00,9560.00,9560.00,9560.00,16,152960
1622-T,自動車,東証,10320.00,10320.00,10210.00,10260.00,38,389630
1623-T,鉄鋼非鉄,東証,16380.00,16380.00,16360.00,16360.00,5,81880
1624-T,機械,東証,15640.00,15640.00,15400.00,15520.00,9,139560
1625-T,電機精密,東証,8360.00,8360.00,8260.00,8290.00,12,100150
1626-T,情通サ他,東証,7950.00,7980.00,7940.00,7940.00,49,389130
1627-T,電力ガス,東証,6230.00,6290.00,6170.00,6290.00,387,2406300
1628-T,運輸物流,東証,,,,,0,0
1629-T,商社卸売,東証,16970.00,16970.00,16850.00,16890.00,21,354470
1630-T,小売,東証,,,,,0,0
1631-T,銀行・17,東証,6270.00,6270.00,6220.00,6220.00,5,31260
1632-T,金融,東証,5790.00,5800.00,5730.00,5750.00,115,662680
1633-T,不動産,東証,13980.00,13980.00,13710.00,13710.00,48,667110
1634-T,ダイワ食品,東証,,,,,0,0
1635-T,ダイワエネ,東証,,,,,0,0
1636-T,ダイワ建設,東証,11310.00,11310.00,11180.00,11180.00,18,202540
1637-T,ダイワ素材,東証,10500.00,10500.00,10440.00,10440.00,19,198960
1638-T,ダイワ医薬,東証,9500.00,9500.00,9500.00,9500.00,5,47500
1639-T,ダイワ自動,東証,,,,,0,0
1640-T,ダイワ鉄鋼,東証,,,,,0,0
1641-T,ダイワ機械,東証,,,,,0,0
1642-T,ダイワ電機,東証,,,,,0,0
