コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,186.00,186.00,185.00,186.00,104000,19314000
1305-T,ETFTPX,東証,828.00,838.00,827.00,832.00,179300,149372250
1306-T,TOPIX投,東証,825.00,835.00,824.00,830.00,4055630,3369827590
1308-T,上場TPX,東証,817.00,825.00,815.00,822.00,1009800,829875000
1309-O,上証50連,大証,18120.00,18480.00,18050.00,18350.00,11062,202406910
1310-T,ETF･コア30,東証,423.00,430.00,423.00,430.00,1670,715500
1311-T,TOPIX30,東証,434.00,439.00,432.00,437.00,23820,10374010
1312-O,RN小型コア,大証,8980.00,8980.00,8930.00,8930.00,8,71590
1313-T,KODEX200,東証,2003.00,2019.00,1997.00,2000.00,720,1440830
1314-T,上場新興,東証,530.00,539.00,530.00,539.00,3000,1602400
1316-T,上場大型,東証,532.00,540.00,532.00,539.00,2550,1374630
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,956.00,956.00,956.00,956.00,100,95600
1319-T,300投信,東証,146.00,146.00,142.00,146.00,10000,1446000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,10020.00,10130.00,10010.00,10110.00,131759,1326982620
1321-O,225投信,大証,10030.00,10140.00,10020.00,10110.00,642322,6479691270
1322-T,上場パンタ,東証,2718.00,2786.00,2714.00,2786.00,8370,23015830
1323-O,南ア40,大証,312.00,314.00,312.00,314.00,6700,2097700
1324-O,RTS連動,大証,120.00,121.00,120.00,121.00,26600,3199700
1325-T,ボベスパ,東証,208.00,209.00,207.00,209.00,68200,14191500
1326-T,SPDRゴール,東証,13790.00,13860.00,13780.00,13850.00,7257,100391420
1327-T,EASY商品,東証,3820.00,3840.00,3785.00,3835.00,906,3462980
1328-O,金連動,大証,4135.00,4175.00,4135.00,4175.00,18600,77159200
1329-T,iS225,東証,9950.00,10070.00,9950.00,10020.00,1030,10316100
1330-T,上場225,東証,10060.00,10180.00,10050.00,10140.00,365620,3699490300
1332-T,日水,東証1部,162.00,168.00,162.00,167.00,2804400,463108000
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,144.00,147.00,144.00,147.00,1788000,259900000
1343-T,REIT-ETF,東証,1130.00,1137.00,1130.00,1137.00,56290,63859600
1344-T,MXSコア30,東証,419.00,430.00,419.00,430.00,43070,18242560
1345-T,上場Jリート,東証,1076.00,1084.00,1075.00,1084.00,41800,45121200
1346-O,MXS225,大証,10070.00,10190.00,10060.00,10160.00,53711,544050280
1347-T,上場グリチ,東証,2700.00,2700.00,2678.00,2700.00,170,458220
1348-T,MXSトピクス,東証,822.00,836.00,822.00,832.00,95130,79165000
1349-T,アジア債券,東証,10980.00,11220.00,10950.00,11070.00,242,2672350
1352-T,ホウスイ,東証1部,105.00,105.00,103.00,104.00,57000,5915000
1376-J,カネコ種,JQスタンダード,690.00,694.00,689.00,692.00,4200,2904900
1377-T,サカタのタネ,東証1部,1068.00,1079.00,1068.00,1069.00,26300,28202700
1378-T,雪国マイタケ,東証2部,263.00,264.00,261.00,261.00,23000,6030200
1379-T,ホクト,東証1部,1701.00,1718.00,1682.00,1697.00,152600,259448300
1380-J,秋川牧園,JQスタンダード,385.00,385.00,385.00,385.00,1000,385000
1381-J,アクシーズ,JQスタンダード,707.00,710.00,707.00,710.00,600,425100
1382-J,ホーブ,JQスタンダード,92000.00,92000.00,92000.00,92000.00,2,184000
1383-J,ベルグアース,JQスタンダード,983.00,983.00,930.00,950.00,6000,5710900
1400-J,ルーデン,JQグロース,7700.00,8180.00,7610.00,7900.00,117,923870
1401-F,エムビーエス,福証Q-Board,695.00,695.00,655.00,655.00,1800,1204200
1405-T,サーラ住宅,東証2部,640.00,645.00,633.00,636.00,15600,9961400
1407-J,ウエストHD,JQスタンダード,1118.00,1125.00,1013.00,1039.00,399700,422297900
1408-J,サムシングHD,JQグロース,218000.00,255200.00,217200.00,248200.00,2060,494409400
1414-T,ショーボンド,東証1部,2875.00,2965.00,2858.00,2951.00,788400,2313611500
1417-T,ミライトHD,東証1部,743.00,773.00,743.00,756.00,741800,562095400
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,235.00,241.00,228.00,235.00,411200,96608400
1491-T,中外鉱,東証2部,17.00,19.00,17.00,18.00,1013300,18229900
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,78.00,80.00,78.00,79.00,496900,39295500
