コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,266.00,273.00,266.00,273.00,635000,171750000
1305-T,ETFTPX,東証,1206.00,1225.00,1202.00,1224.00,1238280,1498046860
1306-T,TOPIX投,東証,1194.00,1212.00,1189.00,1212.00,4355330,5219546130
1308-T,上場TPX,東証,1181.00,1199.00,1178.00,1199.00,775800,918673000
1309-T,上証50連,東証,17210.00,17600.00,17190.00,17550.00,2554,44391110
1310-T,ETF･コア30,東証,621.00,625.00,618.00,625.00,2810,1744730
1311-T,TOPIX30,東証,634.00,642.00,631.00,641.00,17860,11388680
1312-T,RN小型コア,東証,12900.00,12900.00,12300.00,12670.00,48,602490
1313-T,KODEX200,東証,2093.00,2116.00,2091.00,2091.00,50,104880
1314-T,上場新興,東証,1025.00,1032.00,1025.00,1025.00,1000,1027200
1316-T,上場大型,東証,787.00,787.00,781.00,785.00,1270,998360
1317-T,上場中型,東証,1278.00,1285.00,1235.00,1251.00,1150,1450070
1318-T,上場小型,東証,1308.00,1311.00,1308.00,1311.00,160,209680
1319-T,300投信,東証,209.00,222.00,206.00,216.00,64000,13714000
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-T,ETF225,東証,14390.00,14670.00,14350.00,14670.00,172644,2496821110
1321-T,225投信,東証,14370.00,14660.00,14340.00,14650.00,658127,9513044440
1322-T,上場パンタ,東証,2794.00,2870.00,2794.00,2849.00,5680,15983290
1323-T,南ア40,東証,347.00,349.00,346.00,349.00,3200,1111200
1324-T,RTS連動,東証,122.00,124.00,121.00,122.00,19600,2404800
1325-T,ボベスパ,東証,185.00,187.00,185.00,185.00,84500,15715400
1326-T,SPDRゴール,東証,12570.00,12590.00,12350.00,12390.00,10706,133574140
1327-T,EASY商品,東証,4415.00,4435.00,4400.00,4405.00,120,528335
1328-T,金連動,東証,3730.00,3730.00,3670.00,3690.00,8100,29941250
1329-T,iS225,東証,14450.00,14730.00,14440.00,14730.00,7920,115234800
1330-T,上場225,東証,14440.00,14730.00,14400.00,14730.00,444520,6453078300
1332-T,日水,東証1部,202.00,208.00,201.00,208.00,1235000,251911000
1334-T,マルハニチロHD,東証1部,203.00,207.00,202.00,207.00,3000000,614927000
1343-T,REIT-ETF,東証,1444.00,1453.00,1437.00,1441.00,172260,248816150
1344-T,MXSコア30,東証,617.00,621.00,616.00,620.00,8320,5145550
1345-T,上場Jリート,東証,1369.00,1377.00,1365.00,1365.00,47000,64382900
1346-T,MXS225,東証,14450.00,14730.00,14420.00,14730.00,170279,2467763450
1347-T,上場グリチ,東証,,,,,0,0
1348-T,MXSトピクス,東証,1198.00,1214.00,1192.00,1214.00,161660,194036980
1349-T,アジア債券,東証,12010.00,12090.00,12010.00,12050.00,28,336530
1352-T,ホウスイ,東証1部,125.00,127.00,123.00,123.00,206000,25728000
1376-T,カネコ種,JQスタンダード,943.00,943.00,924.00,939.00,9500,8864700
1377-T,サカタのタネ,東証1部,1354.00,1392.00,1354.00,1392.00,80500,110661500
1378-T,雪国マイタケ,東証2部,238.00,238.00,233.00,238.00,29800,7055400
1379-T,ホクト,東証1部,1783.00,1799.00,1770.00,1796.00,40400,72306300
1380-T,秋川牧園,JQスタンダード,,,,,0,0
1381-T,アクシーズ,JQスタンダード,736.00,740.00,735.00,740.00,1100,811100
1382-T,ホーブ,JQスタンダード,95900.00,96500.00,95900.00,96500.00,4,384200
1383-T,ベルグアース,JQスタンダード,1699.00,1699.00,1616.00,1616.00,5900,9826600
1400-T,ルーデン,JQグロース,15080.00,16200.00,15080.00,16150.00,422,6637300
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,839.00,840.00,825.00,825.00,5500,4607100
1407-T,ウエストHD,JQスタンダード,3035.00,3035.00,2971.00,2986.00,75400,226161500
1408-T,サムシングHD,JQグロース,760.00,769.00,757.00,768.00,4100,3127100
1414-T,ショーボンド,東証1部,3980.00,4080.00,3945.00,4075.00,153800,617788500
1417-T,ミライトHD,東証1部,946.00,964.00,935.00,963.00,157200,149881200
1418-T,インターライフ,JQスタンダード,211.00,222.00,211.00,220.00,31400,6844800
1419-T,タマホーム,東証1部,1061.00,1135.00,1061.00,1074.00,162400,175318700
1419-F,タマホーム,福証,,,,,0,0
1420-T,サンヨーH,東証2部,785.00,793.00,771.00,793.00,9900,7759500
1427-T,ハビタクラフト,東証TPM,,,,,0,0
1491-T,中外鉱,東証2部,28.00,29.00,28.00,28.00,141900,4025200
1514-T,住石HD,東証1部,119.00,121.00,118.00,121.00,462500,55296500
1515-T,日鉄鉱,東証1部,395.00,420.00,388.00,418.00,323000,131722000
1518-T,三井松,東証1部,141.00,142.00,138.00,141.00,1748000,244581000
1518-F,三井松,福証,,,,,0,0
1540-T,純金信託,東証,4115.00,4135.00,4065.00,4085.00,52086,213856325
1541-T,純プラ信,東証,4430.00,4470.00,4415.00,4420.00,1371,6099270
1542-T,純銀信託,東証,6230.00,6240.00,6160.00,6190.00,2638,16364490
1543-T,純パラ信,東証,22600.00,22600.00,22200.00,22440.00,198,4425050
1544-T,上場MSジ,東証,722.00,722.00,722.00,722.00,100,72200
1545-T,NASDAQ投,東証,3160.00,3170.00,3150.00,3155.00,1440,4548650
1546-T,NYダウ30,東証,15200.00,15220.00,15160.00,15220.00,2087,31736330
1547-T,上場米国,東証,1811.00,1828.00,1811.00,1827.00,7280,13260390
1548-T,上場チャイナ,東証,939.00,945.00,939.00,940.00,1360,1278050
1549-T,上場インド,東証,983.00,983.00,975.00,979.00,1380,1354550
1550-T,MXS外株,東証,1480.00,1487.00,1453.00,1487.00,13490,19943780
1551-T,JASDAQ20,東証,5650.00,5830.00,5500.00,5720.00,17770,100749900
1552-T,VIX短期,東証,1431.00,1450.00,1420.00,1449.00,233846,335522856
1554-T,上場MS世,東証,1350.00,1359.00,1350.00,1359.00,5110,6914690
1555-T,上場Aリート,東証,1220.00,1249.00,1205.00,1211.00,15700,19108560
1556-T,上場日中,東証,1144.00,1172.00,1144.00,1172.00,1330,1541330
1557-T,SPDR500,東証,16900.00,17020.00,16860.00,16940.00,1345,22785320
1559-T,タイSET50,東証,2887.00,2955.00,2848.00,2873.00,3459,10006705
1560-T,ブルサKLCI,東証,5460.00,5550.00,5450.00,5460.00,347,1899840
1561-T,VIX中期,東証,46000.00,46100.00,45450.00,45500.00,122,5559750
1562-T,YMアジ日,東証,,,,,0,0
1563-T,マザーズコア,東証,1672.00,1694.00,1650.00,1660.00,11941,19960490
1565-T,日経カバコ,東証,12290.00,12510.00,12290.00,12510.00,429,5313250
1566-T,上場EM債,東証,61700.00,61800.00,60800.00,61000.00,127,7774500
1567-T,MXSリスク5,東証,,,,,0,0
1568-T,TPX2倍,東証,18850.00,19510.00,18760.00,19500.00,491350,9355507700
1569-T,TPX-1倍,東証,6360.00,6390.00,6270.00,6270.00,99980,632861800
