コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,173.00,173.00,169.00,169.00,642000,109415000
1305-T,ETFTPX,東証,833.00,835.00,830.00,832.00,92400,76990300
1306-T,TOPIX投,東証,836.00,839.00,833.00,834.00,5124580,4281488410
1308-T,上場TPX,東証,821.00,823.00,817.00,819.00,97400,79916600
1309-O,上証50連,大証,24700.00,24970.00,24490.00,24970.00,6292,156299100
1310-T,ETF･コア30,東証,453.00,453.00,453.00,453.00,100,45300
1311-T,TOPIX30,東証,460.00,463.00,460.00,463.00,1530,703860
1312-O,RN小型コア,大証,8170.00,8170.00,8100.00,8150.00,502,4066320
1313-T,KODEX200,東証,1828.00,1830.00,1788.00,1829.00,630,1150430
1314-T,上場新興,東証,,,,,0,0
1316-T,上場大型,東証,,,,,0,0
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,149.00,149.00,149.00,149.00,27000,4023000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9500.00,9520.00,9450.00,9470.00,48280,457955400
1321-O,225投信,大証,9520.00,9540.00,9470.00,9500.00,194802,1854424900
1322-T,上場パンタ,東証,3840.00,3920.00,3800.00,3920.00,33940,130840150
1323-O,南ア40,大証,308.00,311.00,308.00,311.00,7000,2166300
1324-O,RTS連動,大証,131.00,133.00,130.00,132.00,130900,17174000
1325-T,ボベスパ,東証,296.00,297.00,295.00,296.00,113800,33639100
1326-T,SPDRゴール,東証,10610.00,10610.00,10590.00,10600.00,9181,97366260
1327-T,EASY商品,東証,3515.00,3520.00,3450.00,3520.00,83,288905
1328-O,金連動,大証,3120.00,3130.00,3115.00,3125.00,47380,147886300
1329-T,iS225,東証,9460.00,9480.00,9460.00,9460.00,210,1987400
1330-T,上場225,東証,9570.00,9590.00,9520.00,9540.00,164030,1569057500
1332-T,日水,東証1部,264.00,266.00,262.00,264.00,607100,160251400
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,133.00,133.00,132.00,133.00,473000,62754000
1343-T,REIT-ETF,東証,993.00,993.00,984.00,988.00,15000,14826130
1344-T,MXSコア30,東証,455.00,455.00,452.00,452.00,990,449040
1345-T,上場Jリート,東証,959.00,962.00,958.00,958.00,13000,12477900
1346-O,MXS225,大証,9570.00,9580.00,9530.00,9560.00,11162,106682530
1347-T,上場グリチ,東証,3100.00,3100.00,3085.00,3085.00,120,370500
1348-T,MXSトピクス,東証,834.00,834.00,826.00,826.00,8240,6835910
1349-T,アジア債券,東証,10190.00,10200.00,10150.00,10200.00,470,4790120
1352-T,ホウスイ,東証1部,96.00,97.00,96.00,97.00,5000,483000
1376-J,カネコ種,JQスタンダード,730.00,732.00,726.00,726.00,2500,1818100
1377-T,サカタのタネ,東証1部,1052.00,1062.00,1047.00,1050.00,57800,60757200
1378-T,雪国マイタケ,東証2部,512.00,520.00,512.00,516.00,18300,9480900
1379-T,ホクト,東証1部,1863.00,1888.00,1860.00,1875.00,88500,165684300
1380-J,秋川牧園,JQスタンダード,,,,,0,0
1381-J,アクシーズ,JQスタンダード,728.00,728.00,728.00,728.00,200,145600
1382-J,ホーブ,JQスタンダード,,,,,0,0
1400-J,ルーデン,JQグロース,4800.00,4850.00,4700.00,4750.00,24,114350
1401-F,エムビーエス,福証Q-Board,62800.00,62800.00,62800.00,62800.00,4,251200
1405-T,サーラ住宅,東証2部,323.00,323.00,323.00,323.00,2600,839800
1407-J,ウエストHD,JQスタンダード,679.00,704.00,667.00,700.00,62700,43068800
1408-J,サムシングHD,JQグロース,49950.00,49950.00,48800.00,48800.00,12,598250
1412-T,チャイナボーチ,東証1部外国,20500.00,22800.00,20220.00,22150.00,1165,25624030
1414-T,ショーボンド,東証1部,1737.00,1740.00,1714.00,1729.00,71100,122907800
1417-T,ミライトHD,東証1部,531.00,545.00,531.00,539.00,119600,64517900
1417-O,ミライトHD,大証1部,,,,,0,0
1418-J,インターライフ,JQスタンダード,188.00,190.00,162.00,174.00,1658800,287082900
1491-T,中外鉱,東証2部,29.00,31.00,29.00,30.00,153300,4569300
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,70.00,70.00,69.00,69.00,139600,9722200
