コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,179.00,180.00,176.00,178.00,156000,27717000
1305-T,ETFTPX,東証,896.00,899.00,890.00,895.00,696000,622686100
1306-T,TOPIX投,東証,899.00,905.00,895.00,901.00,2047300,1843287690
1308-T,上場TPX,東証,879.00,883.00,874.00,879.00,1860900,1634389200
1309-O,上証50連,大証,24800.00,25600.00,24630.00,25590.00,11918,300904750
1310-T,ETF･コア30,東証,503.00,503.00,495.00,499.00,2100,1049400
1311-T,TOPIX30,東証,501.00,504.00,501.00,502.00,4810,2412760
1312-O,RN小型コア,大証,9010.00,9020.00,8920.00,9020.00,203,1820950
1313-T,KODEX200,東証,1690.00,1700.00,1656.00,1679.00,390,656720
1314-T,上場新興,東証,567.00,567.00,565.00,566.00,2400,1359600
1316-T,上場大型,東証,654.00,654.00,639.00,639.00,290,187810
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,939.00,939.00,917.00,917.00,30,27780
1319-T,300投信,東証,155.00,155.00,151.00,152.00,27000,4128000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9880.00,9910.00,9810.00,9870.00,94600,933500500
1321-O,225投信,大証,9950.00,9970.00,9860.00,9930.00,441426,4382355230
1322-T,上場パンタ,東証,3535.00,3610.00,3500.00,3610.00,21430,76270400
1323-O,南ア40,大証,281.00,282.00,278.00,282.00,18800,5277500
1324-O,RTS連動,大証,134.00,135.00,132.00,133.00,378900,50491300
1325-T,ボベスパ,東証,280.00,280.00,276.00,279.00,519700,144844300
1326-T,SPDRゴール,東証,10450.00,10510.00,10390.00,10500.00,39440,412510710
1327-T,EASY商品,東証,3405.00,3440.00,3375.00,3415.00,2116,7198985
1328-O,金連動,大証,3165.00,3215.00,3145.00,3215.00,47660,151099850
1329-T,iS225,東証,9980.00,9990.00,9850.00,9910.00,3490,34722800
1330-T,上場225,東証,9980.00,10000.00,9910.00,9970.00,231010,2301852900
1332-T,日水,東証1部,275.00,275.00,268.00,268.00,1336000,361262000
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,138.00,139.00,136.00,136.00,2886000,396155000
1343-T,REIT-ETF,東証,962.00,962.00,938.00,938.00,52320,49447510
1344-T,MXSコア30,東証,497.00,497.00,493.00,494.00,83620,41558150
1345-T,上場Jリート,東証,950.00,950.00,930.00,934.00,26600,24930400
1346-O,MXS225,大証,9860.00,9870.00,9780.00,9840.00,29727,291992160
1347-T,上場グリチ,東証,3215.00,3225.00,3200.00,3225.00,780,2502550
1348-T,MXSトピクス,東証,887.00,887.00,880.00,885.00,6620,5842830
1349-T,アジア債券,東証,10800.00,10800.00,10500.00,10640.00,195,2085370
1352-T,ホウスイ,東証1部,120.00,121.00,118.00,119.00,37000,4423000
1376-J,カネコ種,JQ,746.00,746.00,737.00,740.00,4600,3408500
1377-T,サカタのタネ,東証1部,1188.00,1200.00,1182.00,1185.00,73000,86864400
1378-T,雪国マイタケ,東証2部,532.00,532.00,517.00,523.00,26600,13976400
1379-T,ホクト,東証1部,1750.00,1760.00,1700.00,1705.00,325400,560264500
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,805.00,808.00,791.00,791.00,1900,1523300
1382-J,ホーブ,JQ,173000.00,173000.00,170200.00,173000.00,4,686500
1400-H,ルーデン,HCグロース,8050.00,8200.00,7850.00,7860.00,62,499060
1401-F,エムビーエス,福証Q-Board,71000.00,71000.00,71000.00,71000.00,1,71000
1405-T,サーラ住宅,東証2部,366.00,366.00,357.00,357.00,1000,359700
1407-J,ウエストHD,JQ,850.00,860.00,829.00,840.00,36200,30678200
1408-H,サムシングHD,HCグロース,59900.00,60000.00,59100.00,59100.00,9,535700
1412-T,チャイナボーチ,東証1部外国,17130.00,18640.00,17130.00,18010.00,414,7408480
1414-T,ショーボンド,東証1部,1795.00,1815.00,1790.00,1795.00,57000,102475200
1491-T,中外鉱,東証2部,44.00,47.00,44.00,47.00,3288500,149002900
1491-O,中外鉱,大証2部,46.00,46.00,46.00,46.00,1000,46000
1514-T,住石HD,東証1部,88.00,88.00,87.00,88.00,152900,13375700
1515-T,日鉄鉱,東証1部,333.00,343.00,321.00,332.00,463000,152962000
1518-T,三井松,東証1部,157.00,159.00,153.00,158.00,5337000,833599000
1518-F,三井松,福証,,,,,0,0
1605-T,国際帝石,東証1部,572000.00,582000.00,566000.00,576000.00,11702,6718667000
1606-T,海洋掘削,東証1部,3550.00,3595.00,3535.00,3570.00,58800,209618000
1610-T,ETF･電機,東証,,,,,0,0
1612-T,ETF･銀行,東証,129.00,133.00,128.00,128.00,29000,3787000
1613-T,電機,東証,1300.00,1324.00,1290.00,1323.00,420,550000
1615-T,銀行,東証,135.00,136.00,134.00,134.00,2185700,295004600
1617-T,食品,東証,13370.00,13370.00,13370.00,13370.00,1,13370
1618-T,エネ資源,東証,11990.00,12100.00,11990.00,12100.00,19,229180
1619-T,建設資材,東証,,,,,0,0
1620-T,素材化学,東証,10610.00,10610.00,10610.00,10610.00,6,63660
1621-T,医薬品,東証,10160.00,10160.00,10130.00,10130.00,13,132010
1622-T,自動車,東証,11630.00,11630.00,11570.00,11570.00,22,255200
1623-T,鉄鋼非鉄,東証,20230.00,20230.00,20230.00,20230.00,5,101150
1624-T,機械,東証,15590.00,15820.00,15430.00,15820.00,23,362850
1625-T,電機精密,東証,10200.00,10200.00,10060.00,10060.00,47,476340
1626-T,情通サ他,東証,,,,,0,0
1627-T,電力ガス,東証,11110.00,11110.00,11010.00,11010.00,141,1556730
1628-T,運輸物流,東証,,,,,0,0
1629-T,商社卸売,東証,17750.00,17770.00,17600.00,17750.00,52,919990
1630-T,小売,東証,,,,,0,0
1631-T,銀行・17,東証,7930.00,7990.00,7910.00,7960.00,2397,19080900
1632-T,金融,東証,7810.00,7860.00,7810.00,7860.00,33,257830
1633-T,不動産,東証,15870.00,15870.00,15810.00,15810.00,13,206250
1634-T,ダイワ食品,東証,13250.00,13250.00,13250.00,13250.00,10,132500
1635-T,ダイワエネ,東証,12110.00,12110.00,12110.00,12110.00,10,121100
