コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,181.00,181.00,180.00,180.00,66000,11892000
1305-T,ETFTPX,東証,838.00,848.00,838.00,846.00,413900,349698500
1306-T,TOPIX投,東証,842.00,851.00,842.00,851.00,900790,763648870
1308-T,上場TPX,東証,825.00,833.00,825.00,832.00,425200,352704600
1309-O,上証50連,大証,23110.00,23590.00,23110.00,23510.00,5834,136340050
1310-T,ETF･コア30,東証,,,,,0,0
1311-T,TOPIX30,東証,463.00,470.00,463.00,470.00,1440,668570
1312-O,RN小型コア,大証,,,,,0,0
1313-T,KODEX200,東証,1688.00,1713.00,1681.00,1713.00,380,642340
1314-T,上場新興,東証,536.00,538.00,536.00,538.00,200,107400
1316-T,上場大型,東証,576.00,576.00,576.00,576.00,100,57600
1317-T,上場中型,東証,,,,,0,0
1318-T,上場小型,東証,,,,,0,0
1319-T,300投信,東証,142.00,142.00,142.00,142.00,6000,852000
1319-O,300投信,大証,,,,,0,0
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-O,ETF225,大証,9250.00,9380.00,9230.00,9360.00,76360,711022600
1321-O,225投信,大証,9260.00,9400.00,9260.00,9400.00,486486,4540932330
1322-T,上場パンタ,東証,3505.00,3575.00,3505.00,3575.00,3150,11188300
1323-O,南ア40,大証,286.00,287.00,286.00,286.00,5500,1575500
1324-O,RTS連動,大証,128.00,131.00,128.00,130.00,79900,10262100
1325-T,ボベスパ,東証,291.00,293.00,287.00,293.00,132500,38647000
1326-T,SPDRゴール,東証,10260.00,10320.00,10260.00,10320.00,31304,322214900
1327-T,EASY商品,東証,3430.00,3430.00,3425.00,3425.00,19,65125
1328-O,金連動,大証,3085.00,3095.00,3085.00,3095.00,36600,113103050
1329-T,iS225,東証,9260.00,9460.00,9260.00,9370.00,370,3470300
1330-T,上場225,東証,9300.00,9420.00,9300.00,9420.00,292970,2747796300
1332-T,日水,東証1部,275.00,279.00,274.00,279.00,1420600,393792900
1332-O,日水,大証1部,,,,,0,0
1334-T,マルハニチロHD,東証1部,138.00,139.00,137.00,137.00,1048000,144134000
1343-T,REIT-ETF,東証,930.00,934.00,929.00,933.00,14630,13631560
1344-T,MXSコア30,東証,459.00,466.00,459.00,463.00,11880,5502140
1345-T,上場Jリート,東証,913.00,915.00,910.00,915.00,20500,18701800
1346-O,MXS225,大証,9310.00,9440.00,9310.00,9440.00,12826,120351720
1347-T,上場グリチ,東証,,,,,0,0
1348-T,MXSトピクス,東証,836.00,844.00,836.00,844.00,94020,79021310
1349-T,アジア債券,東証,10310.00,10430.00,10310.00,10430.00,94,972730
1352-T,ホウスイ,東証1部,113.00,113.00,111.00,112.00,25000,2802000
1376-J,カネコ種,JQ,770.00,770.00,760.00,760.00,2400,1830800
1377-T,サカタのタネ,東証1部,1150.00,1158.00,1147.00,1155.00,26800,30897100
1378-T,雪国マイタケ,東証2部,534.00,535.00,532.00,533.00,8900,4750800
1379-T,ホクト,東証1部,1850.00,1861.00,1824.00,1860.00,162600,300710000
1380-J,秋川牧園,JQ,,,,,0,0
1381-J,アクシーズ,JQ,,,,,0,0
1382-J,ホーブ,JQ,,,,,0,0
1400-H,ルーデン,HCグロース,5290.00,5480.00,4990.00,5480.00,25,132690
1401-F,エムビーエス,福証Q-Board,,,,,0,0
1405-T,サーラ住宅,東証2部,329.00,330.00,327.00,327.00,800,263500
1407-J,ウエストHD,JQ,805.00,813.00,793.00,809.00,116200,93554900
1408-H,サムシングHD,HCグロース,57000.00,57000.00,56000.00,56500.00,5,282700
1412-T,チャイナボーチ,東証1部外国,29180.00,29180.00,26000.00,26400.00,4409,118696700
1414-T,ショーボンド,東証1部,1797.00,1806.00,1775.00,1794.00,78100,139801100
1491-T,中外鉱,東証2部,38.00,39.00,37.00,38.00,234300,8865900
1491-O,中外鉱,大証2部,,,,,0,0
1514-T,住石HD,東証1部,77.00,77.00,76.00,76.00,88900,6768500
1515-T,日鉄鉱,東証1部,288.00,289.00,286.00,287.00,99000,28488000
1518-T,三井松,東証1部,130.00,132.00,129.00,131.00,1215000,158982000
