,EDINET Code,Submitter Name,IsRecorded_try0,IsRecorded_try1,IsRecorded_try2,IsRecorded_try3,IsRecorded_try4,IsRecorded
107,E00167,株式会社佐藤渡辺,1,0,0,0,0,1
108,E00168,日比谷総合設備株式会社,1,0,0,0,0,1
109,E00169,株式会社竹中工務店,0,0,0,0,0,0
110,E00170,株式会社ヤマダ・エスバイエルホーム,1,0,0,0,0,1
111,E00173,株式会社サンテック,1,0,0,0,0,1
112,E00174,青木あすなろ建設株式会社,1,0,0,0,0,1
113,E00175,北野建設株式会社,1,0,0,0,0,1
114,E00176,世紀東急工業株式会社,1,0,0,0,0,1
115,E00177,池野通建株式会社,0,0,0,0,0,0
116,E00178,日成ビルド工業株式会社,1,0,0,0,0,1
117,E00179,株式会社植木組,1,0,0,0,0,1
118,E00181,株式会社四電工,1,0,0,0,0,1
119,E00182,神田通信機株式会社,1,0,0,0,0,1
120,E00183,株式会社大気社,1,0,0,0,0,1
121,E00184,西部電気工業株式会社,1,0,0,0,0,1
122,E00185,日本リーテック株式会社,1,0,0,0,0,1
123,E00186,アタカ大機株式会社,0,0,0,0,0,0
124,E00187,日建工学株式会社,1,0,0,0,0,1
125,E00189,株式会社協和日成,1,0,0,0,0,1
126,E00191,シーキューブ株式会社,1,0,0,0,0,1
127,E00193,株式会社ＴＴＫ,1,0,0,0,0,1
128,E00194,ダイダン株式会社,1,0,0,0,0,1
129,E00196,株式会社福田組,1,0,0,0,0,1
130,E00197,株式会社日本ハウスホールディングス,1,0,0,0,0,1
131,E00198,株式会社ＳＹＳＫＥＮ,1,0,0,0,0,1
132,E00199,株式会社ミライト・テクノロジーズ,0,0,0,0,0,0
133,E00200,東芝プラントシステム株式会社,1,0,0,0,0,1
134,E00201,名工建設株式会社,1,0,0,0,0,1
135,E00202,三信建設工業株式会社,1,0,0,0,0,1
136,E00203,大和電設工業株式会社,0,0,0,0,0,0
137,E00204,日本基礎技術株式会社,1,0,0,0,0,1
138,E00207,北陸電気工事株式会社,1,0,0,0,0,1
139,E00208,株式会社丹青社,1,0,0,0,0,1
140,E00209,株式会社　高田工業所,1,0,0,0,0,1
141,E00210,ＮＥＣネッツエスアイ株式会社,1,0,0,0,0,1
142,E00211,株式会社ソルコム,1,0,0,0,0,1
143,E00213,北陸電話工事株式会社,1,0,0,0,0,1
144,E00214,青木マリーン株式会社,0,0,0,0,0,0
145,E00217,カブトデコム株式会社,0,0,0,0,0,0
146,E00218,大東建託株式会社,1,0,0,0,0,1
147,E00221,新日本建設株式会社,1,0,0,0,0,1
148,E00222,高橋カーテンウォール工業株式会社,1,0,0,0,0,1
