,Date,DateOrdinary,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
0,2015-12-03,735935,E01794,numberofsubmissiondei,3,FilingDateInstant,Instant,2015-12-03,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
1,2014-09-30,735506,E01794,netsalessummaryofbusinessresults,235928000000,Prior1YTDDuration,Duration,2014-04-01:2014-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
2,2015-09-30,735871,E01794,netsalessummaryofbusinessresults,222595000000,CurrentYTDDuration,Duration,2015-04-01:2015-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
3,2015-03-31,735688,E01794,netsalessummaryofbusinessresults,501676000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
4,2014-09-30,735506,E01794,netsalessummaryofbusinessresults,122594000000,Prior1QuarterDuration,Duration,2014-07-01:2014-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
5,2015-09-30,735871,E01794,netsalessummaryofbusinessresults,113575000000,CurrentQuarterDuration,Duration,2015-07-01:2015-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
6,2015-09-30,735871,E01794,ordinaryincomelosssummaryofbusinessresults,1405000000,CurrentYTDDuration,Duration,2015-04-01:2015-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
7,2015-03-31,735688,E01794,profitlossattributabletoownersofparentsummaryofbusinessresults,14632000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
8,2015-09-30,735871,E01794,profitlossattributabletoownersofparentsummaryofbusinessresults,520000000,CurrentQuarterDuration,Duration,2015-07-01:2015-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
9,2014-09-30,735506,E01794,comprehensiveincomesummaryofbusinessresults,3553000000,Prior1YTDDuration,Duration,2014-04-01:2014-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
10,2015-03-31,735688,E01794,comprehensiveincomesummaryofbusinessresults,28444000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
11,2014-09-30,735506,E01794,netassetssummaryofbusinessresults,82165000000,Prior1QuarterInstant,Instant,2014-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
12,2015-09-30,735871,E01794,netassetssummaryofbusinessresults,103127000000,CurrentQuarterInstant,Instant,2015-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
13,2015-03-31,735688,E01794,netassetssummaryofbusinessresults,107066000000,Prior1YearInstant,Instant,2015-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
14,2014-09-30,735506,E01794,totalassetssummaryofbusinessresults,328946000000,Prior1QuarterInstant,Instant,2014-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
15,2015-09-30,735871,E01794,totalassetssummaryofbusinessresults,300473000000,CurrentQuarterInstant,Instant,2015-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
16,2015-03-31,735688,E01794,totalassetssummaryofbusinessresults,328277000000,Prior1YearInstant,Instant,2015-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
17,2014-09-30,735506,E01794,netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,17125000000,Prior1YTDDuration,Duration,2014-04-01:2014-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
18,2015-03-31,735688,E01794,netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,34564000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
19,2015-03-31,735688,E01794,netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,36880000000,Prior1YearDuration,Duration,2014-04-01:2015-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
20,2014-09-30,735506,E01794,cashandcashequivalentssummaryofbusinessresults,37208000000,Prior1QuarterInstant,Instant,2014-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
21,2015-09-30,735871,E01794,cashandcashequivalentssummaryofbusinessresults,33830000000,CurrentQuarterInstant,Instant,2015-09-30,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
22,2015-03-31,735688,E01794,cashandcashequivalentssummaryofbusinessresults,51676000000,Prior1YearInstant,Instant,2015-03-31,na,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S1006HVM&amp;lgKbn=2&/E01EW/download?1463339285806
