,0,1,2,3,4,5,6,7,8,9
19,2010-03-31,733862,E02271,cashanddeposits,107680000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
20,2010-03-31,733862,E02271,notesandaccountsreceivabletrade,113773000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
21,2010-03-31,733862,E02271,merchandiseandfinishedgoods,102911000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
22,2010-03-31,733862,E02271,workinprocess,78654000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
23,2010-03-31,733862,E02271,rawmaterialsandsupplies,25429000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
24,2010-03-31,733862,E02271,deferredtaxassetsca,47788000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
25,2010-03-31,733862,E02271,otherca,16713000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
26,2010-03-31,733862,E02271,currentassets,484624000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
27,2010-03-31,733862,E02271,buildingsandstructures,109359000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
28,2010-03-31,733862,E02271,buildingsandstructuresnet,42278000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
29,2010-03-31,733862,E02271,machineryequipmentandvehicles,163452000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
30,2010-03-31,733862,E02271,machineryequipmentandvehiclesnet,34774000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
31,2010-03-31,733862,E02271,land,15033000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
32,2010-03-31,733862,E02271,leaseassetsppe,13945000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
33,2010-03-31,733862,E02271,leaseassetsnetppe,7304000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
34,2010-03-31,733862,E02271,constructioninprogress,11838000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
35,2010-03-31,733862,E02271,otherppe,59475000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
36,2010-03-31,733862,E02271,othernetppe,13815000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
37,2010-03-31,733862,E02271,propertyplantandequipment,125045000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
38,2010-03-31,733862,E02271,goodwill,14853000000,Prior1YearConsolidatedInstant,Instant,2010-03-31,1,https://disclosure.edinet-fsa.go.jp/E01EW/download?uji.verb=W0EZA104CXP001006BLogic&uji.bean=ee.bean.parent.EECommonSearchBean&no=S0008TGM&lgKbn=2&/E01EW/download?1463244830229
