,Date,DateOrdinary,EdinetID,Term,Value,Context,Type,PeriodOrInstant,IsConsolidated,Src
200,2015-12-31,735963,E02271,increasedecreaseinadvancesreceivedopecf,42399000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
201,2014-12-31,735598,E02271,increasedecreaseinaccruedexpensesopecf,4018000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
202,2015-12-31,735963,E02271,othernetopecf,4719000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
203,2014-12-31,735598,E02271,subtotalopecf,46414000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
204,2015-12-31,735963,E02271,subtotalopecf,92874000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
205,2014-12-31,735598,E02271,interestanddividendsincomereceivedopecfinvcf,2464000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
206,2015-12-31,735963,E02271,interestanddividendsincomereceivedopecfinvcf,2901000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
207,2014-12-31,735598,E02271,netcashprovidedbyusedinoperatingactivities,38313000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
208,2015-12-31,735963,E02271,netcashprovidedbyusedinoperatingactivities,83028000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
209,2014-12-31,735598,E02271,proceedsfromsalesofpropertyplantandequipmentinvcf,187000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
210,2015-12-31,735963,E02271,proceedsfromsalesofpropertyplantandequipmentinvcf,238000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
211,2014-12-31,735598,E02271,proceedsfromsalesofinvestmentsecuritiesinvcf,662000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
212,2015-12-31,735963,E02271,proceedsfromsalesofinvestmentsecuritiesinvcf,641000000,CurrentYTDDuration,Duration,2015-04-01:2015-12-31,na,
213,2014-12-31,735598,E02271,decreaseincreaseinloansreceivablenetinvcf,8000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
214,2014-12-31,735598,E02271,effectofexchangeratechangeoncashandcashequivalents,17874000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
215,2014-12-31,735598,E02271,netincreasedecreaseincashandcashequivalents,8141000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
216,2014-03-31,735323,E02271,cashandcashequivalents,221367000000,Prior2YearInstant,Instant,2014-03-31,na,
217,2015-03-31,735688,E02271,cashandcashequivalents,259625000000,Prior1YearInstant,Instant,2015-03-31,na,
218,2014-12-31,735598,E02271,increaseincashandcashequivalentsfromnewlyconsolidatedsubsidiarycce,2652000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
219,2014-12-31,735598,E02271,cashandcashequivalents,232161000000,Prior1QuarterInstant,Instant,2014-12-31,na,
220,2015-12-31,735963,E02271,cashandcashequivalents,233529000000,CurrentQuarterInstant,Instant,2015-12-31,na,
221,2014-12-31,735598,E02271,revenuesfromexternalcustomers,89271000000,Prior1YTDDuration_jpcrp040300-q3r_E02271-000PrecisionMachineryReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
222,2014-12-31,735598,E02271,revenuesfromexternalcustomers,461022000000,Prior1YTDDuration_jpcrp040300-q3r_E02271-000ImageReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
223,2014-12-31,735598,E02271,revenuesfromexternalcustomers,45907000000,Prior1YTDDuration_jpcrp040300-q3r_E02271-000InstrumentsReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
224,2014-12-31,735598,E02271,revenuesfromexternalcustomers,596202000000,Prior1YTDDuration_ReportableSegmentsMember,Duration,2014-04-01:2014-12-31,na,
225,2014-12-31,735598,E02271,revenuesfromexternalcustomers,21617000000,Prior1YTDDuration_OperatingSegmentsNotIncludedInReportableSegmentsAndOtherRevenueGeneratingBusinessActivitiesMember,Duration,2014-04-01:2014-12-31,na,
226,2014-12-31,735598,E02271,revenuesfromexternalcustomers,617819000000,Prior1YTDDuration_TotalOfReportableSegmentsAndOthersMember,Duration,2014-04-01:2014-12-31,na,
227,2014-12-31,735598,E02271,revenuesfromexternalcustomers,617819000000,Prior1YTDDuration,Duration,2014-04-01:2014-12-31,na,
